,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1008.624267578125,839.89453125,,
1,829.7493896484375,720.3623657226562,,
2,730.7385864257812,655.4965209960938,,
3,677.3311157226562,619.0010986328125,,
4,646.1824340820312,596.1317749023438,,
5,625.0142822265625,578.2855834960938,,
6,607.5426635742188,562.3187866210938,,
7,591.5413818359375,547.423583984375,,
8,576.4044799804688,533.4078369140625,,
9,562.1801147460938,520.0531005859375,,
10,548.649169921875,507.1742248535156,,
11,535.476806640625,494.90069580078125,,
12,522.84033203125,482.9707336425781,,
13,510.60662841796875,471.3251037597656,,
14,498.7450256347656,460.0030212402344,,
15,487.0940246582031,449.1138000488281,,
16,475.9366455078125,438.5,,
17,465.0287170410156,428.1075439453125,,
18,454.26898193359375,417.9729309082031,,
19,443.8485107421875,407.9985046386719,,
20,433.5158386230469,398.2802429199219,,
21,423.4912414550781,388.6982727050781,,
22,413.580322265625,379.4545593261719,,
23,404.09796142578125,370.376220703125,,
24,394.69677734375,361.524169921875,,
25,385.45135498046875,352.80670166015625,,
26,376.3850402832031,344.2445373535156,,
27,367.5870666503906,335.8860778808594,,
28,358.8611755371094,327.6480712890625,,
29,350.3272705078125,319.6204833984375,,
30,342.0082092285156,311.7327575683594,,
31,333.8701171875,304.09295654296875,,
32,325.892822265625,296.5725402832031,,
33,318.0972900390625,289.313232421875,,
34,310.4775390625,282.14837646484375,,
35,303.0288391113281,275.1010437011719,,
36,295.6276550292969,268.1656188964844,,
37,288.4449462890625,261.4384765625,,
38,281.4608459472656,254.88792419433594,,
39,274.6533203125,248.49774169921875,,
40,267.9970703125,242.30276489257812,,
41,261.5201416015625,236.26895141601562,,
42,255.20220947265625,230.33029174804688,,
43,248.99900817871094,224.5928192138672,,
44,242.96336364746094,218.88697814941406,,
45,236.88302612304688,213.30223083496094,,
46,231.09884643554688,207.82591247558594,,
47,225.28927612304688,202.46604919433594,,
48,219.67337036132812,197.2554168701172,,
49,214.2133026123047,192.09567260742188,,
