index,Location,Metrics,Model Category,Model,y
104,S4,MSE,HY,RNN GRU,223.37926289863967
105,S4,MSE,HY,RNN LSTM,233.09704234066143
106,S4,MSE,MA HY,CNN LSTM,184.37317153643303
107,S4,MSE,MA HY,RNN LSTM GRU,45.9194078203281
108,S4,MSE,MA HY,CNN RNN GRU,27.89014700928696
109,S4,MSE,MA HY,CNN GRU,228.1776363651175
110,S4,MSE,MA HY,RNN GRU,222.9925333228018
111,S4,MSE,MA HY,RNN LSTM,226.83623891594377
0,S1,RMSE,General,CNN,33.26529288733596
1,S1,RMSE,General,RNN,6.699537524757974
2,S1,RMSE,General,GRU,31.28949406313921
3,S1,RMSE,General,LSTM,29.988360201248277
4,S1,RMSE,MA,CNN,6.344130910623672
5,S1,RMSE,MA,RNN,7.433122514112062
6,S1,RMSE,MA,GRU,4.815314205278801
7,S1,RMSE,MA,LSTM,5.169828430326555
8,S1,RMSE,DReg,CNN,11.037774434595809
9,S1,RMSE,DReg,RNN,7.569460389728896
10,S1,RMSE,DReg,GRU,7.000326692787237
11,S1,RMSE,DReg,LSTM,5.302490355377326
12,S1,RMSE,MA DReg,CNN,8.66014246198155
13,S1,RMSE,MA DReg,RNN,8.41953108251227
14,S1,RMSE,MA DReg,GRU,8.068180256769644
15,S1,RMSE,MA DReg,LSTM,6.7270880477006925
16,S1,RMSE,HY,CNN LSTM,14.5518247616437
17,S1,RMSE,HY,RNN LSTM GRU,7.329576162400951
18,S1,RMSE,HY,CNN RNN GRU,5.357592582865569
19,S1,RMSE,HY,CNN GRU,16.17117449580748
20,S1,RMSE,HY,RNN GRU,14.321906614802325
21,S1,RMSE,HY,RNN LSTM,15.203019277151014
22,S1,RMSE,MA HY,CNN LSTM,15.26778732241958
23,S1,RMSE,MA HY,RNN LSTM GRU,6.96096694480393
24,S1,RMSE,MA HY,CNN RNN GRU,5.374896793762754
25,S1,RMSE,MA HY,CNN GRU,15.392483055042312
26,S1,RMSE,MA HY,RNN GRU,15.692271634999674
27,S1,RMSE,MA HY,RNN LSTM,15.257192600592338
28,S2,RMSE,General,CNN,3.577866155384843
29,S2,RMSE,General,RNN,7.815466919980865
30,S2,RMSE,General,GRU,30.77810207816956
31,S2,RMSE,General,LSTM,30.908347178481105
32,S2,RMSE,MA,CNN,4.79735331023534
33,S2,RMSE,MA,RNN,7.516997597815728
34,S2,RMSE,MA,GRU,4.636855123663851
35,S2,RMSE,MA,LSTM,4.412476570327778
36,S2,RMSE,DReg,CNN,8.46111402239214
37,S2,RMSE,DReg,RNN,8.021656163721474
38,S2,RMSE,DReg,GRU,7.270079584468091
39,S2,RMSE,DReg,LSTM,2.90727213104538
40,S2,RMSE,MA DReg,CNN,12.942145448719447
41,S2,RMSE,MA DReg,RNN,7.969438782972607
42,S2,RMSE,MA DReg,GRU,6.967763873748376
43,S2,RMSE,MA DReg,LSTM,6.980711906867077
44,S2,RMSE,HY,CNN LSTM,14.331447152899658
45,S2,RMSE,HY,RNN LSTM GRU,7.588965252627761
46,S2,RMSE,HY,CNN RNN GRU,5.475571854548669
47,S2,RMSE,HY,CNN GRU,15.670141329730852
48,S2,RMSE,HY,RNN GRU,15.038874201074416
