Model,MSE,RMSE
cnn,506368.42936301517,711.5956923443362
rnn,2373439.164555235,1540.5970156258368
gru,2372271.2394772097,1540.2179194767245
lstm,2372076.495102456,1540.1546984320944
mvg_cnn,5164.923773671207,71.86740411112125
mvg_rnn,2377762.777361725,1541.9996035543345
mvg_gru,2372864.9721537116,1540.4106504934687
mvg_lstm,2378361.7837743224,1542.1938217274514
auto_cnn,3914.6505054410495,62.56716795125899
auto_rnn,2371995.3831843124,1540.1283658138086
auto_gru,2373353.634154437,1540.5692565264428
auto_lstm,2377000.5279860185,1541.752421105937
mvg_auto_cnn,227364.18467028724,476.8272063025423
mvg_auto_rnn,2379715.0196385807,1542.6324966234117
mvg_auto_gru,2379000.465181186,1542.4008769386726
mvg_auto_lstm,2379335.758765789,1542.5095652104687
hybrid_cnn_lstm,2362497.056528036,1537.04165738214
hybrid_lstm_rnn_gru,2344880.934816418,1531.300406457341
hybrid_cnn_rnn_gru,2359303.685292974,1536.002501720936
hybrid_cnn_gru,2365051.3564658714,1537.872347259639
hybrid_rnn_gru,2364905.5129619744,1537.8249292302341
hybrid_rnn_lstm,2363378.3336280077,1537.328310292895
mavg_hybrid_cnn_lstm,2360740.746732228,1536.47022318437
mavg_hybrid_lstm_rnn_gru,2344211.338035498,1531.0817541971746
mavg_hybrid_cnn_rnn_gru,2360277.515004716,1536.3194703591814
mavg_hybrid_cnn_gru,2360649.7158060255,1536.4405995045906
mavg_hybrid_rnn_gru,2359109.295617998,1535.939222631546
mavg_hybrid_rnn_lstm,2366277.7568060076,1538.2710283971442
