ModelCat,Model,MSE,RMSE
General,CNN,0.08362048397349936,0.2891720663783059
General,RNN,0.03338829799061893,0.18272465074701588
General,GRU,0.8476579766305119,0.92068342910607
General,LSTM,0.05626529166333034,0.2372030599788509
MA,CNN,0.23942820803949852,0.48931401782444217
MA,RNN,0.0911043649418002,0.3018349962178014
MA,GRU,0.16200623734498798,0.40249998427948785
MA,LSTM,0.23077520679708238,0.48039068142198843
AE,CNN,0.3485291752923506,0.5903635958393358
AE,RNN,0.030365891159291312,0.17425811648038467
AE,GRU,0.04111770621948876,0.20277501379481833
AE,LSTM,0.02529044578518845,0.15902970095296176
MA AE,CNN,1.1935118361154697,1.0924796730902913
MA AE,RNN,0.09206710082422534,0.3034256100335391
MA AE,GRU,0.1227581315537666,0.3503685653048324
MA AE,LSTM,0.15463825615870835,0.3932407102001373
HY,HY CNN LSTM,0.024424568493822105,0.15628361556421103
HY,HY LSTM RNN GRU,0.023099236119606795,0.15198432853293392
HY,HY CNN RNN GRU,0.03565987565524406,0.18883822614937915
HY,HY CNN GRU,0.03623948621568607,0.1903667150940155
HY,HY RNN GRU,0.02282873275720159,0.15109180241562276
HY,HY RNN LSTM,0.02464098694507381,0.15697447864246536
MA HY,MA HY CNN LSTM,0.29986807657447745,0.5476021152027057
MA HY,MA HY LSTM RNN GRU,0.592254108162479,0.7695804754296194
MA HY,MA HY CNN RNN GRU,0.8770439241791979,0.9365062328565666
MA HY,MA HY CNN GRU,0.5972866681641348,0.7728432364743414
MA HY,MA HY RNN GRU,0.2486289776280436,0.49862709275373673
MA HY,MA HY RNN LSTM,0.1067997045063448,0.3268022406691007
