ModelCat,Model,MSE,RMSE
General,CNN,2.4500060758004403,1.565249525091907
General,RNN,58.16728353603529,7.626747900385543
General,GRU,934.7881343362745,30.574305132517313
General,LSTM,863.9779410206648,29.393501680144624
MA,CNN,30.898749004865273,5.558664318419064
MA,RNN,30.724507024551265,5.542969152408415
MA,GRU,7.5350414873592,2.7450030031603245
MA,LSTM,11.33689141230539,3.36703005812324
AE,CNN,108.8473795965949,10.432994756856486
AE,RNN,30.444174454496565,5.517623986327499
AE,GRU,30.460385708005635,5.519092833791223
AE,LSTM,4.723078268517411,2.173264426736289
MA AE,CNN,72.93809576432288,8.54038030560249
MA AE,RNN,32.544287669149035,5.704760088658333
MA AE,GRU,29.215396735063297,5.405126893520937
MA AE,LSTM,28.6012678970296,5.348015323185752
HY,LSTM,119.4505436872949,10.929343241352377
HY,LSTM RNN GRU,30.246456309516926,5.49967783688435
HY,CNN RNN GRU,26.882093929397396,5.184794492494124
HY,CNN GRU,123.53021551886239,11.11441476276922
HY,RNN GRU,117.42318426282097,10.836197869309187
HY,RNN LSTM,122.28160090379616,11.058101143677252
MA HY,CNN LSTM,115.31715340893605,10.738582467390007
MA HY,LSTM RNN GRU,28.974239688467918,5.382772490870102
MA HY,CNN RNN GRU,26.969885232286135,5.193253819358932
MA HY,CNN GRU,134.80185713857847,11.61042019646914
MA HY,RNN GRU,124.12940759672718,11.14133778308185
MA HY,RNN LSTM,141.76603892271962,11.906554452179673
