Model,MSE,RMSE
CNN,0.018102823730019767,0.13454673437144346
RNN,0.012860393446944288,0.11340367475061947
GRU,0.012406804324086676,0.11138583538352925
LSTM,0.01980654116557948,0.140735713895157
MA CNN,0.05879791146783967,0.24248280654066934
MA RNN,0.05833322453811066,0.2415227205422104
MA GRU,0.015920634623510933,0.12617699720436737
MA LSTM,0.024262104978396745,0.1557629769181263
AE CNN,0.022860009723515557,0.1511952701757418
AE RNN,0.010614659676089197,0.10302747049253028
AE GRU,0.016461554992234367,0.12830259152579251
AE LSTM,0.03312738689586087,0.1820093044211226
MA AE CNN,0.025743199003375145,0.16044687283763168
MA AE RNN,0.01646548982678752,0.12831792480704915
MA AE GRU,0.02252312547891801,0.1500770651329443
MA AE LSTM,0.03483519153678746,0.1866418804469872
HY CNN LSTM,0.018900766210546666,0.13748005750124875
HY LSTM RNN GRU,0.013189620767216442,0.1148460742351102
HY CNN RNN GRU,0.029393025854423452,0.17144394376712013
HY CNN GRU,0.015497799735969613,0.12449015919328568
HY RNN GRU,0.012675737152800046,0.11258657625489837
HY RNN LSTM,0.014971524358246906,0.12235818059388961
MA HY CNN LSTM,0.03263561168988194,0.18065329138956185
MA HY LSTM RNN GRU,0.04454298855667176,0.21105209915248832
MA HY CNN RNN GRU,0.05607699145468646,0.2368058095881232
MA HY CNN GRU,0.054309591467141066,0.23304418350849496
MA HY RNN GRU,0.03760560963989363,0.1939216585116104
MA HY RNN LSTM,0.03871126805555462,0.19675179301738174
