Date,Param,Values
0,12/15/2021,Temperature,21.5
1,12/16/2021,Temperature,21.21
2,12/17/2021,Temperature,21.21
3,12/18/2021,Temperature,21.26
4,12/19/2021,Temperature,21.09
5,12/20/2021,Temperature,21.21
6,12/21/2021,Temperature,21.45
7,12/22/2021,Temperature,21.23
8,12/23/2021,Temperature,21.02
9,12/24/2021,Temperature,21.25
10,12/25/2021,Temperature,21.33
11,12/26/2021,Temperature,21.07
12,12/27/2021,Temperature,21.48
13,12/28/2021,Temperature,21.46
14,12/29/2021,Temperature,21.17
15,12/30/2021,Temperature,21.0
16,12/31/2021,Temperature,20.89
17,1/1/2022,Temperature,20.55
18,1/2/2022,Temperature,20.84
19,1/3/2022,Temperature,20.95
20,1/4/2022,Temperature,20.73
21,1/5/2022,Temperature,20.77
22,1/6/2022,Temperature,20.71
23,1/7/2022,Temperature,20.83
24,1/8/2022,Temperature,20.78
25,1/9/2022,Temperature,20.95
26,1/10/2022,Temperature,20.65
27,1/11/2022,Temperature,20.72
28,1/12/2022,Temperature,20.81
29,1/13/2022,Temperature,20.67
30,1/14/2022,Temperature,20.98
31,1/15/2022,Temperature,20.5
32,1/16/2022,Temperature,20.36
33,1/17/2022,Temperature,20.47
34,1/18/2022,Temperature,20.43
35,1/19/2022,Temperature,20.38
36,1/20/2022,Temperature,20.38
37,1/21/2022,Temperature,20.46
38,1/22/2022,Temperature,20.41
39,1/23/2022,Temperature,20.48
40,1/24/2022,Temperature,20.35
41,1/25/2022,Temperature,20.34
42,1/26/2022,Temperature,20.39
43,1/27/2022,Temperature,20.39
44,1/28/2022,Temperature,20.3
45,1/29/2022,Temperature,20.34
46,1/30/2022,Temperature,20.3
47,1/31/2022,Temperature,20.92
48,2/1/2022,Temperature,20.95
49,2/2/2022,Temperature,20.78
50,2/3/2022,Temperature,20.56
51,2/4/2022,Temperature,20.71
52,2/5/2022,Temperature,20.4
53,2/6/2022,Temperature,20.38
54,2/7/2022,Temperature,20.46
55,2/8/2022,Temperature,20.66
56,2/9/2022,Temperature,20.96
57,2/10/2022,Temperature,20.36
58,2/11/2022,Temperature,20.8
59,2/12/2022,Temperature,20.93
60,2/13/2022,Temperature,20.32
61,2/14/2022,Temperature,20.32
62,2/15/2022,Temperature,21.0
63,2/16/2022,Temperature,21.25
64,2/17/2022,Temperature,21.53
65,2/18/2022,Temperature,21.19
66,2/19/2022,Temperature,21.52
67,2/20/2022,Temperature,21.24
68,2/21/2022,Temperature,21.34
69,2/22/2022,Temperature,21.09
70,2/23/2022,Temperature,21.03
71,2/24/2022,Temperature,21.67
72,2/25/2022,Temperature,21.12
73,2/26/2022,Temperature,21.29
74,2/27/2022,Temperature,21.68
75,2/28/2022,Temperature,21.8
76,3/1/2022,Temperature,23.51
77,3/2/2022,Temperature,22.55
78,3/3/2022,Temperature,21.86
79,3/4/2022,Temperature,24.44
80,3/5/2022,Temperature,23.3
81,3/6/2022,Temperature,22.61
82,3/7/2022,Temperature,24.67
83,3/8/2022,Temperature,23.96
84,3/9/2022,Temperature,23.82
85,3/10/2022,Temperature,23.11
86,3/11/2022,Temperature,22.52
87,3/12/2022,Temperature,23.49
88,3/13/2022,Temperature,22.76
89,3/14/2022,Temperature,22.53
90,3/15/2022,Temperature,24.9
91,3/16/2022,Temperature,26.05
92,3/17/2022,Temperature,26.28
93,3/18/2022,Temperature,25.43
94,3/19/2022,Temperature,26.11
95,3/20/2022,Temperature,26.75
96,3/21/2022,Temperature,26.75
97,3/22/2022,Temperature,26.65
98,3/23/2022,Temperature,25.93
99,3/24/2022,Temperature,25.15
100,3/25/2022,Temperature,25.4
101,3/26/2022,Temperature,25.23
102,3/27/2022,Temperature,26.1
103,3/28/2022,Temperature,25.86
104,3/29/2022,Temperature,26.4
105,3/30/2022,Temperature,26.8
106,3/31/2022,Temperature,28.57
107,4/1/2022,Temperature,28.03
108,4/2/2022,Temperature,28.82
109,4/3/2022,Temperature,29.08
110,4/4/2022,Temperature,28.46
111,4/5/2022,Temperature,27.26
112,4/6/2022,Temperature,28.17
113,4/7/2022,Temperature,27.1
114,4/8/2022,Temperature,28.38
115,4/9/2022,Temperature,27.32
116,4/10/2022,Temperature,29.04
117,4/11/2022,Temperature,28.76
118,4/12/2022,Temperature,27.4
119,4/13/2022,Temperature,28.28
120,4/14/2022,Temperature,28.14
121,4/15/2022,Temperature,29.1
122,4/16/2022,Temperature,29.56
123,4/17/2022,Temperature,31.0
124,4/18/2022,Temperature,29.9
125,4/19/2022,Temperature,31.35
