ModelCat,Model,MSE,RMSE
General,CNN,1.3529978839779369,1.1631843723064443
General,RNN,1.2964669322564042,1.1386250182814377
General,GRU,983.4943278252891,31.360713126861274
General,LSTM,806.57616101502,28.400284523487084
MA,CNN,4.345355637978916,2.0845516635427668
MA,RNN,54.05283647414664,7.352063416085762
MA,GRU,22.895297920862284,4.7849031255462515
MA,LSTM,18.413436019738125,4.29108797622912
AE,CNN,9.535081001144132,3.0878926472829544
AE,RNN,66.06136117580367,8.127814046581262
AE,GRU,55.89044750724429,7.475991406311559
AE,LSTM,26.642226945615207,5.16161088669179
MA AE,CNN,1.5414758545882699,1.2415618609591186
MA AE,RNN,48.37656921642534,6.955326679346221
MA AE,GRU,52.50169992063629,7.2458056778136335
MA AE,LSTM,57.51696209900669,7.5839938092674295
HY,LSTM,235.4124485571134,15.34315640789448
HY,LSTM RNN GRU,52.32389676478621,7.233525887476053
HY,CNN RNN GRU,27.385850957633544,5.2331492389987835
HY,CNN GRU,240.28519224645015,15.501135192186737
HY,RNN GRU,223.70782747364123,14.956865563133247
HY,RNN LSTM,232.49178931978582,15.247681440789147
MA HY,CNN LSTM,239.35510412261803,15.47110545897151
MA HY,LSTM RNN GRU,53.548308089584495,7.317670947069463
MA HY,CNN RNN GRU,27.487578751909304,5.242859787550045
MA HY,CNN GRU,272.1195272196398,16.496045805575342
MA HY,RNN GRU,228.7849304954713,15.125638184733605
MA HY,RNN LSTM,236.8879922113277,15.391166044563606
