Model,MSE,RMSE
cnn,0.06505884988428838,0.2550663636865676
rnn,0.09221147481593499,0.3036634235727691
gru,0.16710658930090086,0.4087867283815619
lstm,0.5772118445930455,0.7597445916839721
mvg_cnn,0.04469148940573926,0.2114036172957768
mvg_rnn,0.19085290673054,0.4368671499787321
mvg_gru,0.5306647335186245,0.728467386722717
mvg_lstm,0.9464694944727736,0.9728666375576734
auto_cnn,0.01865939866146996,0.13659940944773502
auto_rnn,0.21623889935585633,0.46501494530375725
auto_gru,0.639763396993802,0.7998521094513673
auto_lstm,3.457480732851997,1.8594302172579635
mvg_auto_cnn,0.03172664719623495,0.1781197552104621
mvg_auto_rnn,0.923623388781506,0.9610532705222463
mvg_auto_gru,1.9181891678378045,1.3849870641409632
mvg_auto_lstm,3.4099197202214993,1.8465967941652826
hybrid_cnn_lstm,0.027776296175720874,0.16666222180122547
hybrid_lstm_rnn_gru,0.033459877301541735,0.18292041247914825
hybrid_cnn_rnn_gru,0.03890923199390819,0.19725423187832547
hybrid_cnn_gru,0.04885694343731125,0.2210360681818948
hybrid_rnn_gru,0.15636992023846144,0.39543636686382483
hybrid_rnn_lstm,0.1382249144860252,0.3717861138961825
mavg_hybrid_cnn_lstm,0.10310111980972417,0.3210936309080642
mavg_hybrid_lstm_rnn_gru,0.10954093577016391,0.3309696901079673
mavg_hybrid_cnn_rnn_gru,0.1337263508807395,0.36568613711862186
mavg_hybrid_cnn_gru,0.09361866433257089,0.30597167243483653
mavg_hybrid_rnn_gru,0.2163960776723782,0.46518391811452187
mavg_hybrid_rnn_lstm,0.2745927809909035,0.5240160121512543
