,training_loss,validation_loss,training_accuracy,validation_accuracy
0,983.6114501953125,926.1341552734375,,
1,940.1898803710938,879.5782470703125,,
2,887.1430053710938,830.74560546875,,
3,839.6451416015625,779.0619506835938,,
4,785.93115234375,722.4972534179688,,
5,724.3681030273438,665.2033081054688,,
6,661.9508056640625,611.6749877929688,,
7,623.0507202148438,563.515869140625,,
8,571.07666015625,520.1517333984375,,
9,523.7463989257812,481.703125,,
10,485.16058349609375,450.7463684082031,,
11,456.360107421875,424.8978271484375,,
12,432.5877990722656,401.2092590332031,,
13,412.0437927246094,378.0049133300781,,
14,391.0806579589844,352.5596008300781,,
15,357.9544982910156,324.3636779785156,,
16,322.96820068359375,297.4313049316406,,
17,302.08203125,274.3503112792969,,
18,281.86669921875,254.15017700195312,,
19,257.3307800292969,234.6460418701172,,
20,236.74295043945312,217.5531005859375,,
21,228.98428344726562,203.38267517089844,,
22,214.57875061035156,191.1461181640625,,
23,201.02525329589844,180.03594970703125,,
24,186.92138671875,169.7821044921875,,
25,185.072509765625,160.20599365234375,,
26,173.63156127929688,151.17588806152344,,
27,162.2596893310547,142.8516082763672,,
28,152.24673461914062,135.08750915527344,,
29,144.58987426757812,127.77308654785156,,
30,137.1240692138672,120.95440673828125,,
31,128.2272491455078,114.59528350830078,,
32,121.95860290527344,108.64872741699219,,
33,118.20721435546875,103.0361099243164,,
34,114.29817199707031,97.79515075683594,,
35,100.04061126708984,92.92141723632812,,
36,99.10875701904297,88.30975341796875,,
37,96.23228454589844,83.98750305175781,,
38,91.94429779052734,79.99767303466797,,
39,87.44974517822266,76.18280792236328,,
40,87.3287124633789,72.68025970458984,,
41,82.76757049560547,69.32721710205078,,
42,72.44535064697266,66.25811767578125,,
43,76.90283203125,63.37812805175781,,
44,72.41085052490234,60.65752029418945,,
45,63.8553352355957,58.14004898071289,,
46,63.87542724609375,55.765533447265625,,
47,69.3023452758789,53.56587600708008,,
48,63.55840301513672,51.51919174194336,,
49,58.81962203979492,49.606536865234375,,
