ModelCat,Model,MSE,RMSE
General,CNN,0.03401012223794423,0.1844183348746654
General,RNN,0.022977880423319202,0.15158456525424743
General,GRU,0.8966983330028301,0.9469415678925655
General,LSTM,0.08104538315803313,0.2846847083319249
MA,CNN,0.3395181998803165,0.5826819028254752
MA,RNN,0.07855637392007353,0.28027910004150064
MA,GRU,0.126719118300272,0.3559762889579473
MA,LSTM,0.18073585664545655,0.4251303995781254
AE,CNN,0.3808331486178702,0.6171168030590888
AE,RNN,0.01612981972069982,0.1270032272058463
AE,GRU,0.023792605850325013,0.15424851976704676
AE,LSTM,0.02189087120415055,0.14795563931175637
MA AE,CNN,1.0069513085604782,1.003469635096388
MA AE,RNN,0.047156931058509474,0.21715646676649875
MA AE,GRU,0.06268233787181345,0.25036441015410604
MA AE,LSTM,0.22540003320225732,0.47476313378595153
HY,HY CNN LSTM,0.031525565857555185,0.17755440252935206
HY,HY LSTM RNN GRU,0.020737056917903857,0.14400366980707074
HY,HY CNN RNN GRU,0.061571055311830936,0.24813515533239328
HY,HY CNN GRU,0.025528373520972196,0.15977601046769255
HY,HY RNN GRU,0.013238294581413372,0.11505778800851932
HY,HY RNN LSTM,0.017104912772484434,0.1307857514123172
MA HY,MA HY CNN LSTM,0.13043080784837333,0.36115205640889453
MA HY,MA HY LSTM RNN GRU,0.1382421159066586,0.37180924666643056
MA HY,MA HY CNN RNN GRU,0.8217947947953851,0.9065289817735477
MA HY,MA HY CNN GRU,0.813041195006661,0.9016879698691012
MA HY,MA HY RNN GRU,0.1384548226255606,0.3720951795247563
MA HY,MA HY RNN LSTM,0.08940107076848647,0.2990001183419272
