index,Location,Metrics,Model Category,Model,y
100,S4,MSE,HY,CNN LSTM,0.8833954496861932
101,S4,MSE,HY,RNN LSTM GRU,0.0164601575418595
102,S4,MSE,HY,CNN RNN GRU,0.8927131246551822
103,S4,MSE,HY,CNN GRU,0.8690674115583094
104,S4,MSE,HY,RNN GRU,0.0198234349472705
105,S4,MSE,HY,RNN LSTM,0.0189242904792761
106,S4,MSE,MA HY,CNN LSTM,0.8871244616918196
107,S4,MSE,MA HY,RNN LSTM GRU,0.0841938547057063
108,S4,MSE,MA HY,CNN RNN GRU,0.8845226144636511
109,S4,MSE,MA HY,CNN GRU,0.8805049173645817
110,S4,MSE,MA HY,RNN GRU,0.1253765604142518
111,S4,MSE,MA HY,RNN LSTM,0.1043877641883573
0,S1,RMSE,General,CNN,1.8213028275371508
1,S1,RMSE,General,RNN,1.1378487878920711
2,S1,RMSE,General,GRU,0.9184861763119369
3,S1,RMSE,General,LSTM,0.917332358255583
4,S1,RMSE,MA,CNN,1.5069253591962712
5,S1,RMSE,MA,RNN,0.2346196791094452
6,S1,RMSE,MA,GRU,0.355542347783281
7,S1,RMSE,MA,LSTM,0.7261363130420473
8,S1,RMSE,DReg,CNN,0.9661455186702088
9,S1,RMSE,DReg,RNN,0.1534055861204011
10,S1,RMSE,DReg,GRU,0.1434546813506851
11,S1,RMSE,DReg,LSTM,0.1233181923683511
12,S1,RMSE,MA DReg,CNN,1.4318316578266688
13,S1,RMSE,MA DReg,RNN,0.3394693263389599
14,S1,RMSE,MA DReg,GRU,0.3434568740318399
15,S1,RMSE,MA DReg,LSTM,0.5715453005951887
16,S1,RMSE,HY,CNN LSTM,0.9581010822369432
17,S1,RMSE,HY,RNN LSTM GRU,0.1297353541436869
18,S1,RMSE,HY,CNN RNN GRU,0.9337743518290504
19,S1,RMSE,HY,CNN GRU,0.9313119293664456
20,S1,RMSE,HY,RNN GRU,0.137606499566833
21,S1,RMSE,HY,RNN LSTM,0.1348882342789007
22,S1,RMSE,MA HY,CNN LSTM,0.941991750112519
23,S1,RMSE,MA HY,RNN LSTM GRU,0.3869264436260069
24,S1,RMSE,MA HY,CNN RNN GRU,0.9121191192281234
25,S1,RMSE,MA HY,CNN GRU,0.938983782587556
26,S1,RMSE,MA HY,RNN GRU,0.3623246733709673
27,S1,RMSE,MA HY,RNN LSTM,0.3805911614598667
28,S2,RMSE,General,CNN,3.3529984496516265
29,S2,RMSE,General,RNN,1.024804020118422
30,S2,RMSE,General,GRU,0.9211920011999308
31,S2,RMSE,General,LSTM,0.8997493397919295
32,S2,RMSE,MA,CNN,1.3886334244849508
33,S2,RMSE,MA,RNN,0.2726638971999269
34,S2,RMSE,MA,GRU,0.2829934392636898
35,S2,RMSE,MA,LSTM,0.3945342332937482
36,S2,RMSE,DReg,CNN,0.9832345050523849
37,S2,RMSE,DReg,RNN,0.1204376609882293
38,S2,RMSE,DReg,GRU,0.1256170774297784
39,S2,RMSE,DReg,LSTM,0.1273703494585498
40,S2,RMSE,MA DReg,CNN,1.456844408008541
41,S2,RMSE,MA DReg,RNN,0.3178399373478344
42,S2,RMSE,MA DReg,GRU,0.4567908233690313
43,S2,RMSE,MA DReg,LSTM,0.3624071039231903
44,S2,RMSE,HY,CNN LSTM,0.9480057709395828
