,training_loss,validation_loss,training_accuracy,validation_accuracy
0,899.3430786132812,639.0770263671875,,
1,582.05859375,497.6747741699219,,
2,496.85107421875,459.79803466796875,,
3,464.5933532714844,434.04315185546875,,
4,439.8967590332031,411.42144775390625,,
5,417.31951904296875,389.96148681640625,,
6,395.9642639160156,369.71478271484375,,
7,375.51708984375,350.5361328125,,
8,356.1584777832031,332.2465515136719,,
9,337.8633117675781,314.77166748046875,,
10,320.2835388183594,298.469482421875,,
11,304.0742492675781,283.0181884765625,,
12,288.38018798828125,268.4338073730469,,
13,273.8004150390625,254.49041748046875,,
14,259.5897521972656,241.1255340576172,,
15,246.24790954589844,228.4311065673828,,
16,233.29428100585938,216.23886108398438,,
17,220.9537353515625,204.74560546875,,
18,209.15347290039062,193.66993713378906,,
19,198.0242156982422,183.27313232421875,,
20,187.52639770507812,173.2888946533203,,
21,177.33465576171875,163.70079040527344,,
22,167.6734161376953,154.8618621826172,,
23,158.73426818847656,146.65084838867188,,
24,150.3185272216797,138.7003631591797,,
25,142.18267822265625,131.11651611328125,,
26,134.34439086914062,123.8503646850586,,
27,126.90802001953125,117.11005401611328,,
28,120.09687042236328,110.65020751953125,,
29,113.63592529296875,104.79500579833984,,
30,107.58293914794922,99.277587890625,,
31,101.85296630859375,94.03482818603516,,
32,96.5129623413086,89.12602996826172,,
33,91.4793701171875,84.64579772949219,,
34,86.88945007324219,80.39155578613281,,
35,82.55538177490234,76.57901763916016,,
36,78.52082824707031,73.02220916748047,,
37,74.85978698730469,69.60970306396484,,
38,71.23200988769531,66.34774780273438,,
39,67.86360168457031,63.330543518066406,,
40,64.67324829101562,60.5154914855957,,
41,61.7944450378418,57.84221649169922,,
42,59.013221740722656,55.42827606201172,,
43,56.43118667602539,53.17037582397461,,
44,54.032371520996094,51.081138610839844,,
45,51.88780975341797,49.165771484375,,
46,49.7557487487793,47.359458923339844,,
47,47.847164154052734,45.66689682006836,,
48,45.967472076416016,44.06623840332031,,
49,44.26211166381836,42.530757904052734,,
