Model,MSE,RMSE
CNN,0.021663459129179104,0.147185118572426
RNN,0.020825106619413357,0.14430906631051757
GRU,0.0202495012271194,0.14230074218752128
LSTM,0.023941051294479848,0.1547289607490461
MA CNN,0.03673704903198281,0.19166911340114978
MA RNN,0.05093419219514307,0.2256860478521946
MA GRU,0.021058872674121057,0.14511675531833343
MA LSTM,0.038063722356759234,0.1950992628298714
AE CNN,0.024866455598666917,0.1576910130561248
AE RNN,0.020952695753498896,0.14475046028769267
AE GRU,0.02231102582032028,0.14936875784554238
AE LSTM,0.030475343148736494,0.17457188533305268
MA AE CNN,0.024993683235215988,0.15809390638230175
MA AE RNN,0.04637533385205248,0.2153493298156567
MA AE GRU,0.029901902859742296,0.17292166683137858
MA AE LSTM,0.026021116202710397,0.1613106202415402
HY CNN LSTM,0.02428032457425962,0.1558214509438916
HY LSTM RNN GRU,0.021426094214751907,0.14637654940171224
HY CNN RNN GRU,0.0242066295895339,0.15558479870968725
HY CNN GRU,0.01852884365537283,0.136120695176644
HY RNN GRU,0.020258596570512995,0.1423326967724317
HY RNN LSTM,0.02153729370182503,0.14675589835446148
MA HY CNN LSTM,0.031099923934735176,0.17635170522207938
MA HY LSTM RNN GRU,0.03644369916905651,0.1909023288727943
MA HY CNN RNN GRU,0.03241199924030097,0.1800333281376006
MA HY CNN GRU,0.035975509330189594,0.18967211004833998
MA HY RNN GRU,0.03906294362216836,0.1976434760425154
MA HY RNN LSTM,0.0345468706770729,0.18586788500726234
