ModelCat,Model,MSE,RMSE
General,CNN,0.12999365209758237,0.36054632448214247
General,RNN,0.08417892978283731,0.29013605391753244
General,GRU,0.8822144661260252,0.9392627247613019
General,LSTM,0.0395176736785753,0.19879052713490977
MA,CNN,0.21295159552987214,0.4614667870279205
MA,RNN,0.07700914041461461,0.27750520790539157
MA,GRU,0.1083723479979885,0.3291995564972537
MA,LSTM,0.22141750106194127,0.47055021098915817
AE,CNN,0.21537804853857803,0.4640884059514717
AE,RNN,0.046065191055492,0.2146280295196599
AE,GRU,0.035818792713081735,0.18925853405614695
AE,LSTM,0.03648343598759676,0.1910063768244316
MA AE,CNN,2.553411109789508,1.5979396452274122
MA AE,RNN,0.22126510248982076,0.47038824654727585
MA AE,GRU,0.12419723617959587,0.3524162825120256
MA AE,LSTM,0.37402584248737025,0.611576522184567
HY,HY CNN LSTM,0.06439396629474842,0.2537596624657836
HY,HY LSTM RNN GRU,0.02912086252125517,0.17064835926915667
HY,HY CNN RNN GRU,0.06889316987769341,0.2624750842988595
HY,HY CNN GRU,0.038239788979821256,0.195549965430376
HY,HY RNN GRU,0.02802904178418571,0.1674187617448705
HY,HY RNN LSTM,0.07155675519085716,0.26750094428030935
MA HY,MA HY CNN LSTM,0.19947652682938882,0.4466279512406146
MA HY,MA HY LSTM RNN GRU,0.3417664724273329,0.5846079647313513
MA HY,MA HY CNN RNN GRU,0.33884893770185337,0.5821073248996729
MA HY,MA HY CNN GRU,0.561867085268896,0.7495779380884259
MA HY,MA HY RNN GRU,0.22824536879494683,0.4777503205597531
MA HY,MA HY RNN LSTM,0.21898094672478538,0.46795400065047565
