Model,MSE,RMSE
cnn,143.38738866839626,11.974447322043563
rnn,376.3963728486946,19.400937421905535
gru,474.04737334976073,21.772628994904604
lstm,595.0881573518881,24.39442881790611
mvg_cnn,163.96679201407525,12.804951855203331
mvg_rnn,473.08316290126174,21.75047500403754
mvg_gru,490.29675652204963,22.142645653174547
mvg_lstm,486.5920540043476,22.058831655469596
auto_cnn,543.8114443957243,23.31976510164123
auto_rnn,512.3075190694642,22.634211253530886
auto_gru,511.84199745710765,22.623925332645253
auto_lstm,622.3701600912347,24.947347756650096
mvg_auto_cnn,34.74183623813102,5.8942205793583105
mvg_auto_rnn,546.1033869938894,23.368855063821364
mvg_auto_gru,561.3419023480017,23.692655029523426
mvg_auto_lstm,620.4143032803661,24.908117216689945
hybrid_cnn_lstm,379.9063442135823,19.491186321350025
hybrid_lstm_rnn_gru,211.92444398516176,14.557624943141025
hybrid_cnn_rnn_gru,382.6646049784259,19.561814971480175
hybrid_cnn_gru,376.78284117865746,19.410894909268286
hybrid_rnn_gru,398.0236461119061,19.950529970702686
hybrid_rnn_lstm,485.0082657646729,22.022903209265415
mavg_hybrid_cnn_lstm,379.29720559840894,19.475554051128018
mavg_hybrid_lstm_rnn_gru,233.35946145552424,15.276107536133813
mavg_hybrid_cnn_rnn_gru,191.22835729388242,13.82853417010937
mavg_hybrid_cnn_gru,344.5126280540909,18.56105137254059
mavg_hybrid_rnn_gru,440.3787053203207,20.985202055742057
mavg_hybrid_rnn_lstm,455.13640442977646,21.33392613725323
