Model,MSE,RMSE
CNN,0.030618631126251166,0.1749818022716967
RNN,0.030599048512057032,0.1749258371769506
GRU,0.022334048890427116,0.1494458058642902
LSTM,0.023896199261532622,0.15458395538196265
MA CNN,0.040797014507604895,0.20198270843714541
MA RNN,0.0646529257764518,0.2542693960673439
MA GRU,0.026927185133403312,0.1640950490825464
MA LSTM,0.0302576488941549,0.17394725894406873
AE CNN,0.033505206231928215,0.18304427396651396
AE RNN,0.025818331541990484,0.16068083750712306
AE GRU,0.021980131869574513,0.1482569791597499
AE LSTM,0.02458587954678177,0.1567988505913923
MA AE CNN,0.037853792706699974,0.1945605116838974
MA AE RNN,0.04008181951218903,0.20020444428680656
MA AE GRU,0.024344402957349635,0.15602693023112912
MA AE LSTM,0.037087256462291676,0.19258051942575
HY CNN LSTM,0.03458356113445778,0.18596655918325147
HY LSTM RNN GRU,0.03782208155175803,0.19447900028475576
HY CNN RNN GRU,0.031476339225946504,0.17741572429169436
HY CNN GRU,0.041716017443327376,0.20424499367996116
HY RNN GRU,0.029635119222753213,0.17214853825331544
HY RNN LSTM,0.029258998836957973,0.1710526200821197
MA HY CNN LSTM,0.03552468355532032,0.18847992878638384
MA HY LSTM RNN GRU,0.03392065961519804,0.18417562166366655
MA HY CNN RNN GRU,0.055167333997520614,0.23487727433176803
MA HY CNN GRU,0.06463575808337509,0.25423563495972606
MA HY RNN GRU,0.03443102366676715,0.1855559852625809
MA HY RNN LSTM,0.0283351096266573,0.16833035860075063
