index,Location,Metrics,Model Category,Model,y
0,S1,RMSE,General,CNN,1.1767587676412166
1,S1,RMSE,General,RNN,1.153318817018494
2,S1,RMSE,General,GRU,30.807100357794223
3,S1,RMSE,General,LSTM,28.400284523487084
4,S1,RMSE,MA,CNN,1.2286511928911097
5,S1,RMSE,MA,RNN,7.352063416085762
6,S1,RMSE,MA,GRU,4.87444765578124
7,S1,RMSE,MA,LSTM,3.0150482725693184
8,S1,RMSE,DReg,CNN,1.4570121805579008
9,S1,RMSE,DReg,RNN,8.127814046581262
10,S1,RMSE,DReg,GRU,7.475991406311559
11,S1,RMSE,DReg,LSTM,5.2587976601808935
12,S1,RMSE,MA DReg,CNN,1.2091297364942968
13,S1,RMSE,MA DReg,RNN,6.955326679346221
14,S1,RMSE,MA DReg,GRU,7.2458056778136335
15,S1,RMSE,MA DReg,LSTM,7.583993809267429
16,S1,RMSE,HY,CNN LSTM,15.34315640789448
17,S1,RMSE,HY,RNN LSTM GRU,7.233525887476053
18,S1,RMSE,HY,CNN RNN GRU,5.359418321026801
19,S1,RMSE,HY,CNN GRU,15.501135192186736
20,S1,RMSE,HY,RNN GRU,14.956865563133247
21,S1,RMSE,HY,RNN LSTM,15.247681440789147
22,S1,RMSE,MA HY,CNN LSTM,15.47110545897151
23,S1,RMSE,MA HY,RNN LSTM GRU,7.317670947069463
24,S1,RMSE,MA HY,CNN RNN GRU,5.354563867860489
25,S1,RMSE,MA HY,CNN GRU,16.496045805575342
26,S1,RMSE,MA HY,RNN GRU,15.125638184733605
27,S1,RMSE,MA HY,RNN LSTM,15.391166044563606
28,S2,RMSE,General,CNN,1.1535073206474318
29,S2,RMSE,General,RNN,1.0193823089821328
30,S2,RMSE,General,GRU,30.49529242906642
31,S2,RMSE,General,LSTM,31.671523457571297
32,S2,RMSE,MA,CNN,1.146821958050526
33,S2,RMSE,MA,RNN,7.708491197331319
34,S2,RMSE,MA,GRU,4.605182839807281
35,S2,RMSE,MA,LSTM,1.5991201681396383
36,S2,RMSE,DReg,CNN,1.647022129947164
37,S2,RMSE,DReg,RNN,7.895005774482671
38,S2,RMSE,DReg,GRU,6.960416033952727
39,S2,RMSE,DReg,LSTM,5.229534609489456
40,S2,RMSE,MA DReg,CNN,1.1078606013412362
41,S2,RMSE,MA DReg,RNN,7.6061030630854845
42,S2,RMSE,MA DReg,GRU,6.594130624339921
43,S2,RMSE,MA DReg,LSTM,7.229357250337178
44,S2,RMSE,HY,CNN LSTM,15.45944905752809
45,S2,RMSE,HY,RNN LSTM GRU,6.925991652303326
46,S2,RMSE,HY,CNN RNN GRU,5.519352171879881
47,S2,RMSE,HY,CNN GRU,15.360431591308602
48,S2,RMSE,HY,RNN GRU,16.22248946146933
49,S2,RMSE,HY,RNN LSTM,14.955782167608897
50,S2,RMSE,MA HY,CNN LSTM,13.881399191460044
51,S2,RMSE,MA HY,RNN LSTM GRU,7.101333975776595
52,S2,RMSE,MA HY,CNN RNN GRU,5.546996623290803
53,S2,RMSE,MA HY,CNN GRU,15.921763758675134
54,S2,RMSE,MA HY,RNN GRU,15.078573751978416
55,S2,RMSE,MA HY,RNN LSTM,14.831744564298807
56,S3,RMSE,General,CNN,1.139534211705929
57,S3,RMSE,General,RNN,1.0290267409105411
58,S3,RMSE,General,GRU,31.41072803258181
59,S3,RMSE,General,LSTM,28.72419707992164
60,S3,RMSE,MA,CNN,1.146416897283832
61,S3,RMSE,MA,RNN,7.152863102107887
62,S3,RMSE,MA,GRU,4.898408097985556
63,S3,RMSE,MA,LSTM,3.2250125896780126
64,S3,RMSE,DReg,CNN,1.51917196917723
65,S3,RMSE,DReg,RNN,7.598214654695078
66,S3,RMSE,DReg,GRU,6.953236347731553
67,S3,RMSE,DReg,LSTM,5.365032750140776
68,S3,RMSE,MA DReg,CNN,1.14440746849734
69,S3,RMSE,MA DReg,RNN,7.92741386127525
70,S3,RMSE,MA DReg,GRU,7.372906994075284
71,S3,RMSE,MA DReg,LSTM,6.652016625830809
72,S3,RMSE,HY,CNN LSTM,15.32436243466163
73,S3,RMSE,HY,RNN LSTM GRU,6.656919166307641
74,S3,RMSE,HY,CNN RNN GRU,5.491942104827319
75,S3,RMSE,HY,CNN GRU,15.229161617735276
76,S3,RMSE,HY,RNN GRU,15.202160751542982
77,S3,RMSE,HY,RNN LSTM,15.52161919103308
78,S3,RMSE,MA HY,CNN LSTM,15.958943997642375
79,S3,RMSE,MA HY,RNN LSTM GRU,6.95517102695831
80,S3,RMSE,MA HY,CNN RNN GRU,5.492258574553623
81,S3,RMSE,MA HY,CNN GRU,14.404609616458398
