ModelCat,Model,MSE,RMSE
General,CNN,1.2985382196482531,1.139534211705929
General,RNN,1.0588960335089699,1.0290267409105411
General,GRU,986.6338355368209,31.41072803258181
General,LSTM,825.0794978861786,28.724197079921634
MA,CNN,2.185606140443746,1.47837956575561
MA,RNN,51.16345055749645,7.152863102107887
MA,GRU,22.78096218529495,4.772940622435497
MA,LSTM,51.27788823928833,7.160858065852746
AE,CNN,2.9894916653633405,1.7290146515756715
AE,RNN,57.732865938823046,7.598214654695078
AE,GRU,48.347495707415234,6.953236347731553
AE,LSTM,28.78357641008309,5.3650327501407755
MA AE,CNN,1.4630091279931767,1.2095491424465468
MA AE,RNN,62.84389052793896,7.92741386127525
MA AE,GRU,54.35975754328423,7.372906994075284
MA AE,LSTM,44.2493251903295,6.652016625830809
HY,LSTM,234.8360840288685,15.32436243466163
HY,LSTM RNN GRU,44.31457278675402,6.656919166307641
HY,CNN RNN GRU,29.011803818914373,5.386260652708368
HY,CNN GRU,231.92736357910132,15.229161617735276
HY,RNN GRU,231.10569151575388,15.202160751542982
HY,RNN LSTM,240.9206623114464,15.52161919103308
MA HY,CNN LSTM,254.68789351988562,15.958943997642375
MA HY,LSTM RNN GRU,48.37440401424031,6.95517102695831
MA HY,CNN RNN GRU,29.537366568683677,5.434829028468483
MA HY,CNN GRU,207.49277820256577,14.404609616458398
MA HY,RNN GRU,284.408783911599,16.864423616346897
MA HY,RNN LSTM,210.31705491690116,14.502312054182987
