ModelCat,Model,MSE,RMSE
General,CNN,3.0230845185842004,1.7387019637028653
General,RNN,46.162153839249456,6.794273606446053
General,GRU,906.0458365127449,30.100595285022933
General,LSTM,757.6482452901059,27.525410901385396
MA,CNN,34.60672209307561,5.88274783524465
MA,RNN,53.67112450606177,7.326057910367743
MA,GRU,25.00304000165572,5.0003039909245235
MA,LSTM,24.15176859786697,4.914444892138579
AE,CNN,94.07763048473456,9.699362375163357
AE,RNN,50.22454664248149,7.086927870557276
AE,GRU,44.675160184062776,6.68394794893428
AE,LSTM,2.1691938619840894,1.4728183397772074
MA AE,CNN,52.889929215790985,7.272546267696823
MA AE,RNN,62.935146605860865,7.933167501437295
MA AE,GRU,45.18266041192339,6.7218048478011765
MA AE,LSTM,48.09112309667762,6.934776355202641
HY,LSTM,199.4573785408035,14.122938027931847
HY,LSTM RNN GRU,49.20246507453193,7.014446883007379
HY,CNN RNN GRU,26.80741778656197,5.1775880278911695
HY,CNN GRU,244.83891342051805,15.647329274368776
HY,RNN GRU,223.37926289863967,14.945877789499004
HY,RNN LSTM,233.09704234066143,15.26751591912258
MA HY,CNN LSTM,184.37317153643303,13.578408284347361
MA HY,LSTM RNN GRU,45.9194078203281,6.776386044222104
MA HY,CNN RNN GRU,26.834452201574816,5.180198085167672
MA HY,CNN GRU,228.1776363651175,15.10554985312079
MA HY,RNN GRU,222.9925333228018,14.93293451813145
MA HY,RNN LSTM,226.83623891594377,15.0610835903644
