Model,MSE,RMSE
cnn,5011.357816577673,70.79094445321148
rnn,2331015.2067289036,1526.766258052916
gru,2329368.6548461816,1526.2269342552509
lstm,2328645.660787952,1525.9900592035167
mvg_cnn,843695.5105525453,918.5289927664479
mvg_rnn,2332156.963189997,1527.1401255909677
mvg_gru,2328048.877284849,1525.7945068995527
mvg_lstm,2326796.0415888852,1525.3838997409423
auto_cnn,4847.754571761528,69.62581828432272
auto_rnn,2331009.3208438223,1526.7643304858227
auto_gru,2331176.6915029627,1526.8191417135702
auto_lstm,2330729.719180168,1526.6727610002636
mvg_auto_cnn,293363.65634430054,541.6305533703768
mvg_auto_rnn,2332514.1688923277,1527.257073610179
mvg_auto_gru,2332951.7615373493,1527.4003278568946
mvg_auto_lstm,2335213.535685018,1528.1405484067943
hybrid_cnn_lstm,2318020.2980034994,1522.5046134588556
hybrid_lstm_rnn_gru,2301794.360180873,1517.1665565061976
hybrid_cnn_rnn_gru,2315713.2398927193,1521.746772591524
hybrid_cnn_gru,2318523.953540436,1522.6700080911937
hybrid_rnn_gru,2319532.9830368827,1523.0013076280934
hybrid_rnn_lstm,2314043.452198581,1521.1980318809844
mavg_hybrid_cnn_lstm,2321737.422590249,1523.7248513397192
mavg_hybrid_lstm_rnn_gru,2303524.215758581,1517.7365435933145
mavg_hybrid_cnn_rnn_gru,2298284.7142460225,1516.0094703681843
mavg_hybrid_cnn_gru,2317526.638976572,1522.3424841265423
mavg_hybrid_rnn_gru,2312912.559145361,1520.8262751364343
mavg_hybrid_rnn_lstm,2320218.0789392698,1523.226207409546
