Location,Model,Multivariate DO,Multivariate BOD,Univariate DO,Univariate BOD,Except DO,Except BOD
S1,CNN,1.8213028275371508,33.26529288733596,0.1347397329185788,0.1347397329185788,1.6308631246451777,1.1767587676412166
S1,RNN,1.1378487878920711,6.699537524757974,0.1373569443261642,0.1373569443261642,0.1637037699257731,1.153318817018494
S1,GRU,0.9184861763119369,31.28949406313921,0.1289729761594399,0.1289729761594399,0.9148372861055848,30.807100357794223
S1,LSTM,0.917332358255583,29.98836020124828,0.1450289842291507,0.1450289842291507,0.1442609050252806,28.400284523487084
S1,MA CNN,1.5069253591962712,6.344130910623672,0.2166350987318258,0.2166350987318258,0.2589337206573405,1.2286511928911097
S1,MA RNN,0.2346196791094452,7.433122514112062,0.1875540047125077,0.1875540047125077,0.2957604983061089,7.352063416085762
S1,MA GRU,0.355542347783281,4.815314205278801,0.135816114110581,0.135816114110581,0.2844862660269422,4.87444765578124
S1,MA LSTM,0.7261363130420473,5.169828430326555,0.1541890267299837,0.1541890267299837,0.7060843619380305,3.0150482725693184
S1,DReg CNN,0.9661455186702088,11.037774434595809,0.1459007024481322,0.1459007024481322,0.4028401982380691,1.4570121805579008
S1,DReg RNN,0.1534055861204011,7.569460389728896,0.1409560845238736,0.1409560845238736,0.1370283529983196,8.127814046581262
S1,DReg GRU,0.1434546813506851,7.000326692787237,0.1266520701595302,0.1266520701595302,0.1478825326010171,7.475991406311559
S1,DReg LSTM,0.1233181923683511,5.302490355377326,0.1435937478523193,0.1435937478523193,0.1360813911064174,5.2587976601808935
S1,MA DReg CNN,1.4318316578266688,8.66014246198155,0.1539890359635767,0.1539890359635767,0.9757527224190672,1.2091297364942968
S1,MA DReg RNN,0.3394693263389599,8.41953108251227,0.1739434396803672,0.1739434396803672,0.348663401975387,6.955326679346221
S1,MA DReg GRU,0.3434568740318399,8.068180256769644,0.1288410229474208,0.1288410229474208,0.3446573582840871,7.2458056778136335
S1,MA DReg LSTM,0.5715453005951887,6.7270880477006925,0.1478823574901823,0.1478823574901823,0.4704215109484098,7.583993809267429
S1,HY CNN LSTM,0.9581010822369432,14.5518247616437,0.1576331293196319,0.1576331293196319,0.1315450475049183,15.34315640789448
S1,HY LSTM RNN GRU,0.1297353541436869,7.329576162400951,0.1311795107202698,0.1311795107202698,0.1284160377044956,7.233525887476053
S1,HY CNN RNN GRU,0.9337743518290504,5.357592582865569,0.1602238188773787,0.1602238188773787,0.1412145284599135,5.359418321026801
S1,HY CNN GRU,0.9313119293664456,16.17117449580748,0.1430637475179945,0.1430637475179945,0.1522820010975783,15.501135192186736
S1,HY RNN GRU,0.137606499566833,14.321906614802325,0.1478628851128751,0.1478628851128751,0.1353643459230867,14.956865563133247
S1,HY RNN LSTM,0.1348882342789007,15.203019277151014,0.1356144600005572,0.1356144600005572,0.1313153249617068,15.247681440789147
S1,MA HY CNN LSTM,0.941991750112519,15.26778732241958,0.1513034264791786,0.1513034264791786,0.4695169611960038,15.47110545897151
S1,MA HY LSTM RNN GRU,0.3869264436260069,6.96096694480393,0.1433221474555214,0.1433221474555214,0.2788076182866223,7.317670947069463
S1,MA HY CNN RNN GRU,0.9121191192281234,5.374896793762754,0.2096020144058945,0.2096020144058945,0.9075558070947596,5.354563867860489
S1,MA HY CNN GRU,0.938983782587556,15.392483055042312,0.1627473101485651,0.1627473101485651,0.617967029266786,16.496045805575342
S1,MA HY RNN GRU,0.3623246733709673,15.692271634999674,0.1591199721938666,0.1591199721938666,0.2777211525742934,15.125638184733605
S1,MA HY RNN LSTM,0.3805911614598667,15.257192600592338,0.2077708643183993,0.2077708643183993,0.4336917207982817,15.391166044563606
