,training_loss,validation_loss,training_accuracy,validation_accuracy
0,1021.18896484375,904.5673217773438,,
1,909.2181396484375,823.2455444335938,,
2,833.6290893554688,758.7530517578125,,
3,771.3367309570312,704.5277709960938,,
4,720.1697387695312,662.0612182617188,,
5,681.3057861328125,631.347900390625,,
6,653.1189575195312,608.4739990234375,,
7,631.3892211914062,589.1890869140625,,
8,612.5945434570312,572.4005126953125,,
9,595.9517211914062,556.9968872070312,,
10,580.3118286132812,542.3832397460938,,
11,565.5137939453125,528.4151611328125,,
12,551.2962036132812,514.9849243164062,,
13,537.6082153320312,501.91534423828125,,
14,524.2158813476562,489.149169921875,,
15,511.16107177734375,476.80181884765625,,
16,498.59039306640625,464.9032897949219,,
17,486.424072265625,453.28009033203125,,
18,474.60235595703125,442.0860595703125,,
19,463.1187744140625,431.2287902832031,,
20,451.9720458984375,420.65606689453125,,
21,441.173583984375,410.31561279296875,,
22,430.6101989746094,400.336669921875,,
23,420.28765869140625,390.5953674316406,,
24,410.3756408691406,381.1635437011719,,
25,400.6592102050781,371.97100830078125,,
26,391.1276550292969,362.98797607421875,,
27,381.8558044433594,354.1388854980469,,
28,372.76055908203125,345.4854431152344,,
29,363.8892517089844,336.98199462890625,,
30,355.1169738769531,328.698974609375,,
31,346.5415344238281,320.6903991699219,,
32,338.2673034667969,312.85479736328125,,
33,330.1815490722656,305.1451110839844,,
34,322.26763916015625,297.6971740722656,,
35,314.51129150390625,290.47589111328125,,
36,306.9468688964844,283.3909606933594,,
37,299.6158142089844,276.4062805175781,,
38,292.42926025390625,269.52813720703125,,
39,285.3086242675781,262.8387756347656,,
40,278.3393859863281,256.3532409667969,,
41,271.6168212890625,249.93292236328125,,
42,264.89642333984375,243.6941680908203,,
43,258.3962097167969,237.51693725585938,,
44,252.0220947265625,231.4709930419922,,
45,245.66091918945312,225.70045471191406,,
46,239.7102813720703,219.96487426757812,,
47,233.70721435546875,214.32762145996094,,
48,227.84158325195312,208.84835815429688,,
49,222.15530395507812,203.5557098388672,,
