Model Category,Model,MSE,MAE,R2,RMSE
General,CNN,0.01815479562696996,0.08740715804716781,0.9785199417789944,0.13473973291857885
General,RNN,0.018866930154620987,0.08550691409243479,0.9776773715055836,0.13735694432616424
General,GRU,0.016634028579423463,0.07905241954036887,0.9803192550509852,0.12897297615943995
General,LSTM,0.021033406266539247,0.09592340064131553,0.9751140800219115,0.14502898422915073
MA,CNN,0.04693076600254793,0.13628811390863527,0.9444733167585998,0.21663509873182585
MA,RNN,0.03517650468369937,0.1398015228767569,0.958380508150978,0.18755400471250774
MA,GRU,0.01844601685209837,0.08505441351638489,0.9781753799894,0.13581611411058103
MA,LSTM,0.023774255963939655,0.10167178722305431,0.9718712117305314,0.15418902672998377
DReg,CNN,0.021287014974858427,0.08378908247790405,0.9748140199203282,0.14590070244813225
DReg,RNN,0.01986861776430142,0.09017071776505976,0.9764922131255448,0.14095608452387368
DReg,GRU,0.01604074687569458,0.07881902528926732,0.981021203219359,0.12665207015953028
DReg,LSTM,0.020619164422275474,0.09311801707579032,0.9756041950920664,0.14359374785231938
MA DReg,CNN,0.02371262319699174,0.09083558583632115,0.9719441332576896,0.15398903596357677
MA DReg,RNN,0.030256320207837542,0.10491257034863039,0.9642018818073466,0.1739434396803672
MA DReg,GRU,0.016600009194137826,0.0777116341640552,0.9803595054835206,0.12884102294742086
MA DReg,LSTM,0.02186919165685408,0.0923191257607606,0.9741252107879577,0.1478823574901823
AE,CNN,0.1754901940731532,0.291977629562219,0.7923667297963388,0.4189154975327998
AE,RNN,0.33309077352515554,0.39655069086286754,0.6058997658133227,0.5771401680052737
AE,GRU,0.20755374757684586,0.3581786725918452,0.7544303624483912,0.45558067076736897
AE,LSTM,0.3025402240734691,0.40787396934297354,0.6420460047680082,0.5500365661239888
AE MA,CNN,0.10760948001687971,0.18181723246971768,0.8726805884578005,0.32803883918962967
AE MA,RNN,0.13553482125743685,0.22213226546843845,0.8396403952210602,0.368150541568849
AE MA,GRU,0.48646354507250256,0.5738849824004704,0.4244349820699077,0.6974693864769281
AE MA,LSTM,0.5764108560184321,0.6042127687401242,0.31801277189249,0.7592172653584954
AE DReg,CNN,0.219167645961581,0.34341431121031446,0.7406892430988373,0.468153442753101
AE DReg,RNN,0.24542412906769284,0.3415798796547784,0.7096235788310286,0.4954029966276878
AE DReg,GRU,0.22440793844070134,0.38019225908650295,0.7344891299243665,0.47371715024970473
AE DReg,LSTM,0.4993262703262058,0.5530214609040155,0.4092162986428193,0.7066302217752972
AE MA DReg,CNN,0.11137347099770646,0.1846125991808044,0.8682271786220329,0.33372664112669587
AE MA DReg,RNN,0.3990222986612656,0.48841794868310295,0.5278921127599624,0.6316821183643444
AE MA DReg,GRU,0.4174995374412813,0.5014076141516368,0.5060305521611443,0.6461420412272222
AE MA DReg,LSTM,0.22405485083196502,0.3694688877794478,0.7349068896473955,0.4733443258685637
HY,CNN LSTM,0.024848203459099806,0.09628983912782536,0.9706005582240785,0.15763312931963194
HY,LSTM RNN GRU,0.017208064032809393,0.08316114660352471,0.9796400783082112,0.13117951072026984
HY,CNN RNN GRU,0.025671672135651052,0.0945801537194186,0.9696262616536881,0.1602238188773787
HY,CNN GRU,0.020467235853892495,0.08570197871161836,0.9757839511499894,0.14306374751799456
HY,RNN GRU,0.021863432793903306,0.08423179956359998,0.9741320244538348,0.14786288511287513
HY,RNN LSTM,0.018391281761242734,0.08631827601128156,0.9782401404506285,0.1356144600005572
MA HY,CNN LSTM,0.022892726864340223,0.1005699501724707,0.9729142031677237,0.15130342647917866
MA HY,LSTM RNN GRU,0.020541237951262233,0.0954135897714231,0.9756963947052549,0.14332214745552144
MA HY,CNN RNN GRU,0.043933004443008836,0.14821793245358603,0.9480201533165357,0.20960201440589457
MA HY,CNN GRU,0.026486686960593253,0.11073906963096107,0.9686619673564429,0.16274731014856514
MA HY,RNN GRU,0.025319165550976894,0.1122857225965709,0.9700433339313205,0.15911997219386664
MA HY,RNN LSTM,0.043168732059614696,0.15807167011934023,0.9489244111021549,0.2077708643183993
