Model Category,Model,MSE,MAE,R2,RMSE
General,CNN,0.5625731025740361,0.4884538470374216,0.9802930267920159,0.7500487334660569
General,RNN,82.27152270930767,7.331510378519694,-1.8819769135674451,9.070365081368427
General,GRU,61.07711541484954,5.8141611893971765,-1.139535416098195,7.815184925185682
General,LSTM,25.847685464808286,4.394435539245606,0.09455385866703181,5.084061906075523
MA,CNN,0.7496747408044816,0.5643050511678064,0.9737388439579866,0.8658375949359566
MA,RNN,130.3536217970857,10.087819967269898,-3.56629604324318,11.41725106131444
MA,GRU,93.89783622017961,8.083141055636936,-2.2892474492863553,9.690089587830425
MA,LSTM,29.082470102355924,4.595520523919,-0.018760862378239818,5.392816527785451
DReg,CNN,0.5433556119645918,0.4869032764434818,0.980966216766496,0.7371265915462498
DReg,RNN,105.78038979309662,8.788910409079659,-2.7054940914249097,10.284959396764608
DReg,GRU,57.799506335963784,5.561867651409574,-1.0247205520239806,7.602598656772813
DReg,LSTM,2.15205106806277,0.9828891075981991,0.9246135079219411,1.4669870715390678
MA DReg,CNN,0.5731050598263853,0.5093897374471033,0.9799240916288344,0.7570370267208766
MA DReg,RNN,114.93078800174544,9.29409757614136,-3.0260331493982626,10.720577783018294
MA DReg,GRU,85.1445833216501,7.522504535251195,-1.9826204179463187,9.227382257262896
MA DReg,LSTM,56.08421363916734,5.438651758829753,-0.9646337347464522,7.488939420182763
HY,CNN LSTM,226.64479335372138,14.074729833602905,-6.939382188580693,15.054726611723023
HY,LSTM RNN GRU,48.71808092792388,4.985230173534817,-0.7065976158443292,6.979833875381554
HY,CNN RNN GRU,29.16098915128001,4.58822374979655,-0.02151138988547996,5.400091587304794
HY,CNN GRU,256.6678316597929,15.103673796123928,-7.9910912177057885,16.02085614627985
HY,RNN GRU,276.9708369941594,15.761475371254814,-8.702306845213084,16.6424408364326
HY,RNN LSTM,211.20940018159286,13.515298545625475,-6.398679338931378,14.533045110423103
MA HY,CNN LSTM,272.9262871151061,15.632661203808254,-8.560625993888754,16.520480837890467
MA HY,LSTM RNN GRU,68.1545226381101,6.333924196031358,-1.3874574619489985,8.255575245742122
MA HY,CNN RNN GRU,29.097871523878855,4.59635133319431,-0.019300375198757713,5.394244295902704
MA HY,CNN GRU,248.07364473189168,14.81641736984253,-7.690036277898622,15.75035379703871
MA HY,RNN GRU,289.54435774383677,16.15543155564202,-9.142758113519703,17.016002989651735
MA HY,RNN LSTM,258.8861091863949,15.176937123404608,-8.068797627032149,16.089938134946166
