Location,Model,Multivariate DO,Multivariate BOD,Univariate DO,Univariate BOD,Except DO,Except BOD
S3,CNN,1.5563280249966516,32.61036335865656,0.0957410015000237,0.0957410015000237,0.1743141637763215,0.928796612421672
S3,RNN,0.8283836889266968,6.1482388104332815,0.0893248721708854,0.0893248721708854,0.1493817278246084,0.7940764957004125
S3,GRU,0.793730305035909,30.154907519022625,0.0860678123310208,0.0860678123310208,0.7907045131259495,30.949843487209744
S3,LSTM,0.7601439321041107,29.179401531219483,0.0922037471623884,0.0922037471623884,0.126149446517229,28.219469760258992
S3,MA CNN,0.9783460390008984,5.317603615654839,0.1299141547828913,0.1299141547828913,0.3100391295221116,0.9093678855896
S3,MA RNN,0.1526835759811931,5.611339138878716,0.1461813295417879,0.1461813295417879,0.2263809961742825,5.319283610449896
S3,MA GRU,0.3960526468025314,3.815546751022339,0.0815602396097448,0.0815602396097448,0.3393830845091077,3.883053899341159
S3,MA LSTM,0.281674181719621,2.1653178384568954,0.0935236898519926,0.0935236898519926,0.2966079025136099,2.776115239461263
S3,DReg CNN,1.4778633527126577,7.778369181950887,0.0936163620485199,0.0936163620485199,0.2669608456227514,1.0934894127315944
S3,DReg RNN,0.1082314342570801,5.156024501588608,0.1060145071314441,0.1060145071314441,0.1256659381629692,5.76294079568651
S3,DReg GRU,0.110008037993167,6.02168866581387,0.0806172495252556,0.0806172495252556,0.1309220770084195,5.133557656606038
S3,DReg LSTM,0.1134032740278376,0.7772721004486082,0.0940344047298034,0.0940344047298034,0.1128921351333459,4.272147390577528
S3,MA DReg CNN,1.5208427061637242,6.823424869113499,0.102569024831367,0.102569024831367,0.9366613772842618,0.9373809793260366
S3,MA DReg RNN,0.299178311129411,5.668823924594455,0.1017056824660135,0.1017056824660135,0.1868773827619022,6.107891128328111
S3,MA DReg GRU,0.3779086443781853,5.699105466206869,0.0877909044466085,0.0877909044466085,0.2943118529849582,5.530735277599758
S3,MA DReg LSTM,0.4605725918213526,4.936862174140082,0.108778226594958,0.108778226594958,0.3260690009593963,4.87815936088562
S3,HY CNN LSTM,0.7632978440655602,13.213938634660508,0.0775219697670804,0.0775219697670804,0.1137543461802932,14.356049379772609
S3,HY LSTM RNN GRU,0.1056059528126691,6.226938888761732,0.0910438669638501,0.0910438669638501,0.1198998410117605,4.882115069495307
S3,HY CNN RNN GRU,0.7737251053916083,4.366824860042996,0.0826211716607213,0.0826211716607213,0.1337225354462862,4.365365658866035
S3,HY CNN GRU,0.7704343163967132,14.006245905558266,0.080998920497174,0.080998920497174,0.1263390896303786,14.254324967066443
S3,HY RNN GRU,0.1142956483043316,13.958887948989869,0.0808344881381425,0.0808344881381425,0.1212030526135478,14.225485776265462
S3,HY RNN LSTM,0.1044809325541265,14.396183624267575,0.0794640105176303,0.0794640105176303,0.1168518356647756,14.566469590928818
S3,MA HY CNN LSTM,0.7703376856777403,14.707885425355698,0.1080210362995664,0.1080210362995664,0.325433628393544,15.03154945479499
S3,MA HY LSTM RNN GRU,0.4084813954432805,5.143720672395493,0.1108705591079261,0.1108705591079261,0.3494004929065704,5.135881946351792
S3,MA HY CNN RNN GRU,0.770424357453982,4.364779361089071,0.1454692505082736,0.1454692505082736,0.5787728496392569,4.365395620134142
S3,MA HY CNN GRU,0.769952010512352,13.67622860378689,0.0957611513365474,0.0957611513365474,0.4816215369436476,13.369808330535887
S3,MA HY RNN GRU,0.1746865319212277,13.59966969596015,0.1127883749589738,0.1127883749589738,0.2672018803821669,15.989592659208508
S3,MA HY RNN LSTM,0.2435899587141142,14.95647621260749,0.1188711369441201,0.1188711369441201,0.2089254326952828,13.474995455212062
