Date,Param,Values
177,6/10/2022,Temperature,32.18
178,6/11/2022,Temperature,31.68
179,6/12/2022,Temperature,31.22
180,6/13/2022,Temperature,30.94
181,6/14/2022,Temperature,31.84
182,6/15/2022,Temperature,30.5
183,6/16/2022,Temperature,29.61
184,6/17/2022,Temperature,29.28
185,6/18/2022,Temperature,29.29
186,6/19/2022,Temperature,30.07
187,6/20/2022,Temperature,29.29
188,6/21/2022,Temperature,29.48
189,6/22/2022,Temperature,30.01
190,6/23/2022,Temperature,29.93
191,6/24/2022,Temperature,29.9
192,6/25/2022,Temperature,30.1
193,6/26/2022,Temperature,29.12
194,6/27/2022,Temperature,29.01
195,6/28/2022,Temperature,30.49
196,6/29/2022,Temperature,29.27
197,6/30/2022,Temperature,28.9
198,7/1/2022,Temperature,28.81
199,7/2/2022,Temperature,28.78
200,7/3/2022,Temperature,28.87
201,7/4/2022,Temperature,28.41
202,7/5/2022,Temperature,28.51
203,7/6/2022,Temperature,28.75
204,7/7/2022,Temperature,28.11
205,7/8/2022,Temperature,28.38
206,7/9/2022,Temperature,28.3
207,7/10/2022,Temperature,28.41
208,7/11/2022,Temperature,28.11
209,7/12/2022,Temperature,28.69
210,7/13/2022,Temperature,28.85
211,7/14/2022,Temperature,28.88
212,7/15/2022,Temperature,28.1
213,7/16/2022,Temperature,27.82
214,7/17/2022,Temperature,28.1
215,7/18/2022,Temperature,27.9
216,7/19/2022,Temperature,28.08
217,7/20/2022,Temperature,28.03
218,7/21/2022,Temperature,27.9
219,7/22/2022,Temperature,27.93
220,7/23/2022,Temperature,27.98
221,7/24/2022,Temperature,27.86
222,7/25/2022,Temperature,27.96
223,7/26/2022,Temperature,27.81
224,7/27/2022,Temperature,27.97
225,7/28/2022,Temperature,27.84
226,7/29/2022,Temperature,28.05
227,7/30/2022,Temperature,27.8
228,7/31/2022,Temperature,27.11
229,8/1/2022,Temperature,27.42
230,8/2/2022,Temperature,27.77
231,8/3/2022,Temperature,27.3
232,8/4/2022,Temperature,27.79
233,8/5/2022,Temperature,27.62
234,8/6/2022,Temperature,27.56
235,8/7/2022,Temperature,27.27
236,8/8/2022,Temperature,27.49
237,8/9/2022,Temperature,27.46
238,8/10/2022,Temperature,27.6
239,8/11/2022,Temperature,27.73
240,8/12/2022,Temperature,27.47
241,8/13/2022,Temperature,27.15
242,8/14/2022,Temperature,27.66
243,8/15/2022,Temperature,27.0
244,8/16/2022,Temperature,27.11
245,8/17/2022,Temperature,27.42
246,8/18/2022,Temperature,27.77
247,8/19/2022,Temperature,27.3
248,8/20/2022,Temperature,27.79
249,8/21/2022,Temperature,27.62
250,8/22/2022,Temperature,27.56
251,8/23/2022,Temperature,27.27
252,8/24/2022,Temperature,27.49
253,8/25/2022,Temperature,27.46
254,8/26/2022,Temperature,27.6
255,8/27/2022,Temperature,27.73
256,8/28/2022,Temperature,27.47
257,8/29/2022,Temperature,27.15
258,8/30/2022,Temperature,26.5
259,8/31/2022,Temperature,25.84
260,9/1/2022,Temperature,24.91
261,9/2/2022,Temperature,26.06
262,9/3/2022,Temperature,24.9
263,9/4/2022,Temperature,25.84
264,9/5/2022,Temperature,25.79
265,9/6/2022,Temperature,26.02
266,9/7/2022,Temperature,25.77
267,9/8/2022,Temperature,26.0
268,9/9/2022,Temperature,26.37
269,9/10/2022,Temperature,25.96
270,9/11/2022,Temperature,25.89
271,9/12/2022,Temperature,25.47
272,9/13/2022,Temperature,25.98
273,9/14/2022,Temperature,25.55
274,9/15/2022,Temperature,24.8
275,9/16/2022,Temperature,24.4
276,9/17/2022,Temperature,24.78
277,9/18/2022,Temperature,24.42
278,9/19/2022,Temperature,24.59
279,9/20/2022,Temperature,24.78
280,9/21/2022,Temperature,24.63
281,9/22/2022,Temperature,24.79
282,9/23/2022,Temperature,24.71
283,9/24/2022,Temperature,24.77
284,9/25/2022,Temperature,24.35
285,9/26/2022,Temperature,24.58
286,9/27/2022,Temperature,24.43
287,9/28/2022,Temperature,24.36
288,9/29/2022,Temperature,24.33
289,9/30/2022,Temperature,24.3
290,10/1/2022,Temperature,23.97
291,10/2/2022,Temperature,23.97
292,10/3/2022,Temperature,24.22
293,10/4/2022,Temperature,23.97
294,10/5/2022,Temperature,23.5
295,10/6/2022,Temperature,23.6
296,10/7/2022,Temperature,23.66
297,10/8/2022,Temperature,24.01
298,10/9/2022,Temperature,23.21
299,10/10/2022,Temperature,24.26
300,10/11/2022,Temperature,24.19
301,10/12/2022,Temperature,23.35
302,10/13/2022,Temperature,24.09
303,10/14/2022,Temperature,23.24
304,10/15/2022,Temperature,23.2
305,10/16/2022,Temperature,22.83
306,10/17/2022,Temperature,23.01
307,10/18/2022,Temperature,23.12
308,10/19/2022,Temperature,22.84
309,10/20/2022,Temperature,23.04
310,10/21/2022,Temperature,22.93
311,10/22/2022,Temperature,22.91
312,10/23/2022,Temperature,23.02
313,10/24/2022,Temperature,22.98
314,10/25/2022,Temperature,22.86
315,10/26/2022,Temperature,23.07
316,10/27/2022,Temperature,22.95
317,10/28/2022,Temperature,23.09
318,10/29/2022,Temperature,23.05
319,10/30/2022,Temperature,22.8
320,10/31/2022,Temperature,22.59
321,11/1/2022,Temperature,22.77
322,11/2/2022,Temperature,22.12
323,11/3/2022,Temperature,22.51
324,11/4/2022,Temperature,22.43
325,11/5/2022,Temperature,22.41
326,11/6/2022,Temperature,22.57
327,11/7/2022,Temperature,22.24
328,11/8/2022,Temperature,22.25
329,11/9/2022,Temperature,22.23
330,11/10/2022,Temperature,22.13
331,11/11/2022,Temperature,22.79
332,11/12/2022,Temperature,22.46
333,11/13/2022,Temperature,22.31
334,11/14/2022,Temperature,22.68
335,11/15/2022,Temperature,22.1
336,11/16/2022,Temperature,21.71
337,11/17/2022,Temperature,21.93
338,11/18/2022,Temperature,21.83
339,11/19/2022,Temperature,22.1
340,11/20/2022,Temperature,22.01
341,11/21/2022,Temperature,22.03
342,11/22/2022,Temperature,22.01
343,11/23/2022,Temperature,22.01
344,11/24/2022,Temperature,21.74
345,11/25/2022,Temperature,21.99
346,11/26/2022,Temperature,21.96
347,11/27/2022,Temperature,21.9
348,11/28/2022,Temperature,21.99
349,11/29/2022,Temperature,22.0
350,11/30/2022,Temperature,21.7
351,12/1/2022,Temperature,21.59
352,12/2/2022,Temperature,21.25
353,12/3/2022,Temperature,21.49
354,12/4/2022,Temperature,21.63
355,12/5/2022,Temperature,21.34
356,12/6/2022,Temperature,21.45
357,12/7/2022,Temperature,21.65
358,12/8/2022,Temperature,21.4
359,12/9/2022,Temperature,21.27
360,12/10/2022,Temperature,21.44
361,12/11/2022,Temperature,21.31
362,12/12/2022,Temperature,21.42
363,12/13/2022,Temperature,21.48
364,12/14/2022,Temperature,21.51
365,12/15/2021,pH,8.12
366,12/16/2021,pH,8.08
367,12/17/2021,pH,8.06
368,12/18/2021,pH,8.09
369,12/19/2021,pH,8.11
370,12/20/2021,pH,8.11
371,12/21/2021,pH,8.08
372,12/22/2021,pH,8.09
373,12/23/2021,pH,8.06
374,12/24/2021,pH,8.07
375,12/25/2021,pH,8.11
376,12/26/2021,pH,8.11
377,12/27/2021,pH,8.1
378,12/28/2021,pH,8.11
379,12/29/2021,pH,8.06
380,12/30/2021,pH,8.06
381,12/31/2021,pH,8.04
382,1/1/2022,pH,8.04
383,1/2/2022,pH,8.04
384,1/3/2022,pH,8.05
385,1/4/2022,pH,8.06
386,1/5/2022,pH,8.04
387,1/6/2022,pH,8.05
388,1/7/2022,pH,8.05
389,1/8/2022,pH,8.04
390,1/9/2022,pH,8.06
391,1/10/2022,pH,8.05
392,1/11/2022,pH,8.06
393,1/12/2022,pH,8.04
394,1/13/2022,pH,8.05
395,1/14/2022,pH,8.05
396,1/15/2022,pH,8.04
397,1/16/2022,pH,8.07
398,1/17/2022,pH,8.1
399,1/18/2022,pH,8.07
400,1/19/2022,pH,8.1
401,1/20/2022,pH,8.06
402,1/21/2022,pH,8.08
403,1/22/2022,pH,8.11
404,1/23/2022,pH,8.05
405,1/24/2022,pH,8.09
406,1/25/2022,pH,8.07
407,1/26/2022,pH,8.09
408,1/27/2022,pH,8.08
409,1/28/2022,pH,8.05
410,1/29/2022,pH,8.09
411,1/30/2022,pH,8.11
412,1/31/2022,pH,8.16
413,2/1/2022,pH,8.12
414,2/2/2022,pH,8.16
415,2/3/2022,pH,8.14
416,2/4/2022,pH,8.14
417,2/5/2022,pH,8.16
418,2/6/2022,pH,8.13
419,2/7/2022,pH,8.16
420,2/8/2022,pH,8.13
421,2/9/2022,pH,8.17
422,2/10/2022,pH,8.13
423,2/11/2022,pH,8.14
424,2/12/2022,pH,8.16
425,2/13/2022,pH,8.14
426,2/14/2022,pH,8.13
427,2/15/2022,pH,8.17
428,2/16/2022,pH,8.21
429,2/17/2022,pH,8.23
430,2/18/2022,pH,8.23
431,2/19/2022,pH,8.26
432,2/20/2022,pH,8.32
433,2/21/2022,pH,8.28
434,2/22/2022,pH,8.19
435,2/23/2022,pH,8.27
436,2/24/2022,pH,8.22
437,2/25/2022,pH,8.28
438,2/26/2022,pH,8.23
439,2/27/2022,pH,8.27
440,2/28/2022,pH,8.33
441,3/1/2022,pH,8.15
442,3/2/2022,pH,8.21
443,3/3/2022,pH,8.25
444,3/4/2022,pH,8.24
445,3/5/2022,pH,8.0
446,3/6/2022,pH,8.27
447,3/7/2022,pH,8.08
448,3/8/2022,pH,8.23
449,3/9/2022,pH,8.06
450,3/10/2022,pH,8.06
451,3/11/2022,pH,8.28
452,3/12/2022,pH,8.03
453,3/13/2022,pH,8.07
454,3/14/2022,pH,8.12
455,3/15/2022,pH,7.98
456,3/16/2022,pH,7.73
457,3/17/2022,pH,7.73
458,3/18/2022,pH,7.75
459,3/19/2022,pH,7.77
460,3/20/2022,pH,7.79
461,3/21/2022,pH,7.69
462,3/22/2022,pH,7.8
463,3/23/2022,pH,7.94
464,3/24/2022,pH,7.82
465,3/25/2022,pH,7.92
466,3/26/2022,pH,7.72
467,3/27/2022,pH,7.8
468,3/28/2022,pH,7.79
469,3/29/2022,pH,7.87
470,3/30/2022,pH,7.65
471,3/31/2022,pH,7.62
472,4/1/2022,pH,7.36
473,4/2/2022,pH,7.61
474,4/3/2022,pH,7.61
475,4/4/2022,pH,7.58
476,4/5/2022,pH,7.0
477,4/6/2022,pH,7.34
478,4/7/2022,pH,7.48
479,4/8/2022,pH,7.06
480,4/9/2022,pH,7.34
481,4/10/2022,pH,6.93
482,4/11/2022,pH,7.44
483,4/12/2022,pH,6.97
484,4/13/2022,pH,7.41
485,4/14/2022,pH,7.08
486,4/15/2022,pH,6.91
487,4/16/2022,pH,6.62
488,4/17/2022,pH,6.85
489,4/18/2022,pH,6.88
490,4/19/2022,pH,6.42
491,4/20/2022,pH,6.89
492,4/21/2022,pH,6.39
493,4/22/2022,pH,6.77
494,4/23/2022,pH,6.54
495,4/24/2022,pH,6.63
496,4/25/2022,pH,6.43
497,4/26/2022,pH,6.65
498,4/27/2022,pH,6.74
499,4/28/2022,pH,6.68
500,4/29/2022,pH,6.54
501,4/30/2022,pH,6.35
502,5/1/2022,pH,6.39
503,5/2/2022,pH,6.38
504,5/3/2022,pH,6.37
505,5/4/2022,pH,6.36
506,5/5/2022,pH,6.37
507,5/6/2022,pH,6.37
508,5/7/2022,pH,6.39
509,5/8/2022,pH,6.4
510,5/9/2022,pH,6.38
511,5/10/2022,pH,6.35
512,5/11/2022,pH,6.38
513,5/12/2022,pH,6.38
514,5/13/2022,pH,6.38
515,5/14/2022,pH,6.38
516,5/15/2022,pH,6.42
517,5/16/2022,pH,6.5
518,5/17/2022,pH,6.45
519,5/18/2022,pH,6.46
520,5/19/2022,pH,6.45
521,5/20/2022,pH,6.45
522,5/21/2022,pH,6.49
523,5/22/2022,pH,6.5
524,5/23/2022,pH,6.47
525,5/24/2022,pH,6.49
526,5/25/2022,pH,6.42
527,5/26/2022,pH,6.5
528,5/27/2022,pH,6.44
529,5/28/2022,pH,6.43
530,5/29/2022,pH,6.44
531,5/30/2022,pH,6.52
532,5/31/2022,pH,6.49
533,6/1/2022,pH,6.5
534,6/2/2022,pH,6.49
535,6/3/2022,pH,6.49
536,6/4/2022,pH,6.48
537,6/5/2022,pH,6.47
538,6/6/2022,pH,6.48
539,6/7/2022,pH,6.52
540,6/8/2022,pH,6.5
541,6/9/2022,pH,6.49
542,6/10/2022,pH,6.5
543,6/11/2022,pH,6.48
544,6/12/2022,pH,6.5
545,6/13/2022,pH,6.49
546,6/14/2022,pH,6.52
547,6/15/2022,pH,6.47
548,6/16/2022,pH,6.79
549,6/17/2022,pH,6.74
550,6/18/2022,pH,6.92
551,6/19/2022,pH,7.0
552,6/20/2022,pH,6.55
553,6/21/2022,pH,6.57
554,6/22/2022,pH,6.73
555,6/23/2022,pH,6.83
556,6/24/2022,pH,6.53
557,6/25/2022,pH,6.94
558,6/26/2022,pH,6.63
559,6/27/2022,pH,7.04
560,6/28/2022,pH,6.51
561,6/29/2022,pH,6.8
562,6/30/2022,pH,7.05
563,7/1/2022,pH,7.08
564,7/2/2022,pH,7.11
565,7/3/2022,pH,7.09
566,7/4/2022,pH,7.13
567,7/5/2022,pH,7.1
568,7/6/2022,pH,7.08
569,7/7/2022,pH,7.09
570,7/8/2022,pH,7.15
571,7/9/2022,pH,7.09
572,7/10/2022,pH,7.06
573,7/11/2022,pH,7.06
574,7/12/2022,pH,7.06
575,7/13/2022,pH,7.13
576,7/14/2022,pH,7.07
577,7/15/2022,pH,7.15
578,7/16/2022,pH,7.19
579,7/17/2022,pH,7.17
580,7/18/2022,pH,7.2
581,7/19/2022,pH,7.21
582,7/20/2022,pH,7.16
583,7/21/2022,pH,7.19
584,7/22/2022,pH,7.2
585,7/23/2022,pH,7.18
586,7/24/2022,pH,7.19
587,7/25/2022,pH,7.2
588,7/26/2022,pH,7.19
589,7/27/2022,pH,7.15
590,7/28/2022,pH,7.17
591,7/29/2022,pH,7.18
592,7/30/2022,pH,7.22
593,7/31/2022,pH,7.22
594,8/1/2022,pH,7.21
595,8/2/2022,pH,7.2
596,8/3/2022,pH,7.19
597,8/4/2022,pH,7.19
598,8/5/2022,pH,7.2
599,8/6/2022,pH,7.21
600,8/7/2022,pH,7.2
601,8/8/2022,pH,7.19
602,8/9/2022,pH,7.21
603,8/10/2022,pH,7.2
604,8/11/2022,pH,7.21
605,8/12/2022,pH,7.21
606,8/13/2022,pH,7.22
607,8/14/2022,pH,7.2
608,8/15/2022,pH,7.19
609,8/16/2022,pH,7.22
610,8/17/2022,pH,7.21
611,8/18/2022,pH,7.2
612,8/19/2022,pH,7.19
613,8/20/2022,pH,7.19
614,8/21/2022,pH,7.2
615,8/22/2022,pH,7.21
616,8/23/2022,pH,7.2
617,8/24/2022,pH,7.19
618,8/25/2022,pH,7.21
619,8/26/2022,pH,7.2
620,8/27/2022,pH,7.21
621,8/28/2022,pH,7.21
622,8/29/2022,pH,7.22
623,8/30/2022,pH,7.13
624,8/31/2022,pH,7.37
625,9/1/2022,pH,7.18
626,9/2/2022,pH,7.27
627,9/3/2022,pH,7.34
628,9/4/2022,pH,7.27
629,9/5/2022,pH,7.23
630,9/6/2022,pH,7.19
631,9/7/2022,pH,7.31
632,9/8/2022,pH,7.15
633,9/9/2022,pH,7.36
634,9/10/2022,pH,7.21
635,9/11/2022,pH,7.3
636,9/12/2022,pH,7.22
637,9/13/2022,pH,7.22
638,9/14/2022,pH,7.26
639,9/15/2022,pH,7.38
640,9/16/2022,pH,7.56
641,9/17/2022,pH,7.45
642,9/18/2022,pH,7.48
643,9/19/2022,pH,7.62
644,9/20/2022,pH,7.47
645,9/21/2022,pH,7.57
646,9/22/2022,pH,7.39
647,9/23/2022,pH,7.41
648,9/24/2022,pH,7.61
649,9/25/2022,pH,7.59
650,9/26/2022,pH,7.51
651,9/27/2022,pH,7.54
652,9/28/2022,pH,7.52
653,9/29/2022,pH,7.52
654,9/30/2022,pH,7.69
655,10/1/2022,pH,7.84
656,10/2/2022,pH,7.73
657,10/3/2022,pH,7.76
658,10/4/2022,pH,7.81
659,10/5/2022,pH,7.79
660,10/6/2022,pH,7.75
661,10/7/2022,pH,7.76
662,10/8/2022,pH,7.78
663,10/9/2022,pH,7.77
664,10/10/2022,pH,7.73
665,10/11/2022,pH,7.72
666,10/12/2022,pH,7.77
667,10/13/2022,pH,7.78
668,10/14/2022,pH,7.7
669,10/15/2022,pH,7.88
670,10/16/2022,pH,7.9
671,10/17/2022,pH,7.9
672,10/18/2022,pH,7.9
673,10/19/2022,pH,7.89
674,10/20/2022,pH,7.9
675,10/21/2022,pH,7.88
676,10/22/2022,pH,7.89
677,10/23/2022,pH,7.91
678,10/24/2022,pH,7.88
679,10/25/2022,pH,7.89
680,10/26/2022,pH,7.9
681,10/27/2022,pH,7.91
682,10/28/2022,pH,7.91
683,10/29/2022,pH,7.91
684,10/30/2022,pH,7.92
685,10/31/2022,pH,7.92
686,11/1/2022,pH,7.93
687,11/2/2022,pH,7.92
688,11/3/2022,pH,7.92
689,11/4/2022,pH,7.92
690,11/5/2022,pH,7.92
691,11/6/2022,pH,7.92
692,11/7/2022,pH,7.92
693,11/8/2022,pH,7.92
694,11/9/2022,pH,7.92
695,11/10/2022,pH,7.93
696,11/11/2022,pH,7.92
697,11/12/2022,pH,7.93
698,11/13/2022,pH,7.93
699,11/14/2022,pH,7.92
700,11/15/2022,pH,7.93
701,11/16/2022,pH,7.95
702,11/17/2022,pH,7.94
703,11/18/2022,pH,7.94
704,11/19/2022,pH,7.94
705,11/20/2022,pH,7.94
706,11/21/2022,pH,7.95
707,11/22/2022,pH,7.94
708,11/23/2022,pH,7.95
709,11/24/2022,pH,7.94
710,11/25/2022,pH,7.95
711,11/26/2022,pH,7.94
712,11/27/2022,pH,7.94
713,11/28/2022,pH,7.93
714,11/29/2022,pH,7.93
715,11/30/2022,pH,7.95
716,12/1/2022,pH,8.06
717,12/2/2022,pH,8.04
718,12/3/2022,pH,8.07
719,12/4/2022,pH,8.08
720,12/5/2022,pH,8.0
721,12/6/2022,pH,8.1
722,12/7/2022,pH,8.03
723,12/8/2022,pH,8.04
724,12/9/2022,pH,7.98
725,12/10/2022,pH,7.98
726,12/11/2022,pH,7.97
727,12/12/2022,pH,8.07
728,12/13/2022,pH,8.09
729,12/14/2022,pH,8.02
730,12/15/2021,EC,1679.0
731,12/16/2021,EC,1690.0
732,12/17/2021,EC,1680.0
733,12/18/2021,EC,1697.0
734,12/19/2021,EC,1692.0
735,12/20/2021,EC,1686.0
736,12/21/2021,EC,1696.0
737,12/22/2021,EC,1687.0
738,12/23/2021,EC,1682.0
739,12/24/2021,EC,1696.0
740,12/25/2021,EC,1686.0
741,12/26/2021,EC,1690.0
742,12/27/2021,EC,1689.0
743,12/28/2021,EC,1695.0
744,12/29/2021,EC,1692.0
745,12/30/2021,EC,1701.0
746,12/31/2021,EC,1951.0
747,1/1/2022,EC,1984.0
748,1/2/2022,EC,1903.0
749,1/3/2022,EC,1959.0
750,1/4/2022,EC,1884.0
751,1/5/2022,EC,1801.0
752,1/6/2022,EC,1864.0
753,1/7/2022,EC,1723.0
754,1/8/2022,EC,1895.0
755,1/9/2022,EC,1816.0
756,1/10/2022,EC,1771.0
757,1/11/2022,EC,1734.0
758,1/12/2022,EC,1757.0
759,1/13/2022,EC,1708.0
760,1/14/2022,EC,1721.0
761,1/15/2022,EC,2007.0
762,1/16/2022,EC,2058.0
763,1/17/2022,EC,2031.0
764,1/18/2022,EC,2105.0
765,1/19/2022,EC,2109.0
766,1/20/2022,EC,2031.0
767,1/21/2022,EC,2105.0
768,1/22/2022,EC,2152.0
769,1/23/2022,EC,2153.0
770,1/24/2022,EC,2135.0
771,1/25/2022,EC,2012.0
772,1/26/2022,EC,2014.0
773,1/27/2022,EC,2091.0
774,1/28/2022,EC,2111.0
775,1/29/2022,EC,2067.0
776,1/30/2022,EC,2168.0
777,1/31/2022,EC,1882.0
778,2/1/2022,EC,1806.0
779,2/2/2022,EC,1941.0
780,2/3/2022,EC,1935.0
781,2/4/2022,EC,2100.0
782,2/5/2022,EC,1928.0
783,2/6/2022,EC,2067.0
784,2/7/2022,EC,2116.0
785,2/8/2022,EC,2075.0
786,2/9/2022,EC,2012.0
787,2/10/2022,EC,2029.0
788,2/11/2022,EC,1983.0
789,2/12/2022,EC,2104.0
790,2/13/2022,EC,1847.0
791,2/14/2022,EC,2093.0
792,2/15/2022,EC,1785.0
793,2/16/2022,EC,1754.0
794,2/17/2022,EC,1775.0
795,2/18/2022,EC,1766.0
796,2/19/2022,EC,1782.0
797,2/20/2022,EC,1752.0
798,2/21/2022,EC,1768.0
799,2/22/2022,EC,1782.0
800,2/23/2022,EC,1768.0
801,2/24/2022,EC,1771.0
802,2/25/2022,EC,1749.0
803,2/26/2022,EC,1757.0
804,2/27/2022,EC,1751.0
805,2/28/2022,EC,1746.0
806,3/1/2022,EC,1744.0
807,3/2/2022,EC,1741.0
808,3/3/2022,EC,1705.0
809,3/4/2022,EC,1737.0
810,3/5/2022,EC,1732.0
811,3/6/2022,EC,1726.0
812,3/7/2022,EC,1746.0
813,3/8/2022,EC,1720.0
814,3/9/2022,EC,1711.0
815,3/10/2022,EC,1737.0
816,3/11/2022,EC,1709.0
817,3/12/2022,EC,1708.0
818,3/13/2022,EC,1728.0
819,3/14/2022,EC,1720.0
820,3/15/2022,EC,1704.0
