Date,Param,Values
0,12/15/2021,Temperature,21.4
1,12/16/2021,Temperature,20.75
2,12/17/2021,Temperature,21.17
3,12/18/2021,Temperature,21.2
4,12/19/2021,Temperature,20.81
5,12/20/2021,Temperature,21.22
6,12/21/2021,Temperature,21.14
7,12/22/2021,Temperature,21.22
8,12/23/2021,Temperature,21.2
9,12/24/2021,Temperature,20.87
10,12/25/2021,Temperature,21.12
11,12/26/2021,Temperature,20.95
12,12/27/2021,Temperature,20.77
13,12/28/2021,Temperature,21.12
14,12/29/2021,Temperature,21.26
15,12/30/2021,Temperature,20.7
16,12/31/2021,Temperature,20.68
17,1/1/2022,Temperature,20.55
18,1/2/2022,Temperature,20.3
19,1/3/2022,Temperature,20.69
20,1/4/2022,Temperature,20.28
21,1/5/2022,Temperature,20.6
22,1/6/2022,Temperature,20.33
23,1/7/2022,Temperature,20.36
24,1/8/2022,Temperature,20.33
25,1/9/2022,Temperature,20.44
26,1/10/2022,Temperature,20.29
27,1/11/2022,Temperature,20.34
28,1/12/2022,Temperature,20.43
29,1/13/2022,Temperature,20.63
30,1/14/2022,Temperature,20.47
31,1/15/2022,Temperature,20.2
32,1/16/2022,Temperature,20.11
33,1/17/2022,Temperature,19.91
34,1/18/2022,Temperature,20.03
35,1/19/2022,Temperature,20.09
36,1/20/2022,Temperature,20.03
37,1/21/2022,Temperature,20.09
38,1/22/2022,Temperature,20.01
39,1/23/2022,Temperature,20.17
40,1/24/2022,Temperature,19.95
41,1/25/2022,Temperature,20.1
42,1/26/2022,Temperature,20.17
43,1/27/2022,Temperature,19.97
44,1/28/2022,Temperature,20.1
45,1/29/2022,Temperature,20.17
46,1/30/2022,Temperature,19.9
47,1/31/2022,Temperature,20.69
48,2/1/2022,Temperature,20.63
49,2/2/2022,Temperature,20.22
50,2/3/2022,Temperature,20.24
51,2/4/2022,Temperature,20.3
52,2/5/2022,Temperature,20.12
53,2/6/2022,Temperature,20.86
54,2/7/2022,Temperature,20.74
55,2/8/2022,Temperature,20.25
56,2/9/2022,Temperature,20.83
57,2/10/2022,Temperature,20.63
58,2/11/2022,Temperature,20.82
59,2/12/2022,Temperature,19.96
60,2/13/2022,Temperature,20.34
61,2/14/2022,Temperature,19.9
62,2/15/2022,Temperature,20.9
63,2/16/2022,Temperature,21.27
64,2/17/2022,Temperature,21.31
65,2/18/2022,Temperature,21.44
66,2/19/2022,Temperature,21.16
67,2/20/2022,Temperature,21.29
68,2/21/2022,Temperature,20.97
69,2/22/2022,Temperature,21.07
70,2/23/2022,Temperature,21.43
71,2/24/2022,Temperature,21.25
72,2/25/2022,Temperature,21.34
73,2/26/2022,Temperature,21.01
74,2/27/2022,Temperature,21.01
75,2/28/2022,Temperature,21.5
76,3/1/2022,Temperature,23.93
77,3/2/2022,Temperature,24.61
78,3/3/2022,Temperature,22.93
79,3/4/2022,Temperature,23.88
80,3/5/2022,Temperature,23.19
81,3/6/2022,Temperature,22.16
82,3/7/2022,Temperature,23.23
