Model,MSE,RMSE
cnn,55729.3610978348,236.0706697110736
rnn,2448937.6463097623,1564.9081910162533
gru,2453485.261763183,1566.3605146208145
lstm,2449120.3218890643,1564.9665561567328
mvg_cnn,2455826.4564844556,1567.1076722690293
mvg_rnn,2451751.172564167,1565.8068758835386
mvg_gru,2445166.9437919473,1563.702958938157
mvg_lstm,2454863.6918996354,1566.800463332723
auto_cnn,3518.6917030592385,59.31856120186361
auto_rnn,2454933.648943964,1566.8227879833648
auto_gru,2456840.3060471597,1567.4311168428294
auto_lstm,2446975.555781124,1564.281162637051
mvg_auto_cnn,41739.40829352269,204.3022474020359
mvg_auto_rnn,2452441.861796268,1566.027414126671
mvg_auto_gru,2450418.0276564076,1565.3811125909267
mvg_auto_lstm,2455887.8721161718,1567.127267364132
hybrid_cnn_lstm,2440370.5920548625,1562.1685543035562
hybrid_lstm_rnn_gru,2418616.009041706,1555.1900234510592
hybrid_cnn_rnn_gru,2415826.481843948,1554.292920219335
hybrid_cnn_gru,2435258.465458973,1560.5314689101829
hybrid_rnn_gru,2434238.649565792,1560.2046819458633
hybrid_rnn_lstm,2438495.677695214,1561.568339105021
mavg_hybrid_cnn_lstm,2438369.1887493893,1561.5278379681195
mavg_hybrid_lstm_rnn_gru,2421124.4481460075,1555.9962879602276
mavg_hybrid_cnn_rnn_gru,2421142.085524646,1556.0019555015494
mavg_hybrid_cnn_gru,2437819.14092831,1561.351703149649
mavg_hybrid_rnn_gru,2436234.198978533,1560.8440661957661
mavg_hybrid_rnn_lstm,2436835.1023339075,1561.036547404931
