Model,MSE,RMSE
cnn,2090860.8062856023,1445.9809149105677
rnn,2350170.1928523835,1533.0264814582895
gru,2350892.2548882742,1533.2619655128324
lstm,2342833.8566277996,1530.6318488218517
mvg_cnn,1632978.7953291454,1277.8805872729836
mvg_rnn,2347159.1821159334,1532.0441188542625
mvg_gru,2348665.8314021546,1532.53575207959
mvg_lstm,2350845.917110568,1533.2468545901434
auto_cnn,637363.3075735496,798.3503664266395
auto_rnn,2347527.712406602,1532.1643881798723
auto_gru,2345886.706724469,1531.6287757562109
auto_lstm,2354775.761125992,1534.5278626098623
mvg_auto_cnn,1279689.0957917648,1131.2334400077486
mvg_auto_rnn,2346288.6117092315,1531.7599719633724
mvg_auto_gru,2349440.065357125,1532.788330252134
mvg_auto_lstm,2351911.6254102197,1533.5943483888493
hybrid_cnn_lstm,2357603.64674517,1535.4490049315118
hybrid_lstm_rnn_gru,2341497.9688298795,1530.1954021725066
hybrid_cnn_rnn_gru,2345496.3862025123,1531.5013503756738
hybrid_cnn_gru,2357024.717624597,1535.2604722406543
hybrid_rnn_gru,2355978.779139569,1534.9197956699786
hybrid_rnn_lstm,2355554.523383478,1534.7815881692998
mavg_hybrid_cnn_lstm,2357101.373702184,1535.2854372077472
mavg_hybrid_lstm_rnn_gru,2340824.9230931667,1529.9754648664032
mavg_hybrid_cnn_rnn_gru,2339932.694563245,1529.6838544494235
mavg_hybrid_cnn_gru,2357446.863710969,1535.3979496244513
mavg_hybrid_rnn_gru,2358123.1093667876,1535.61815220021
mavg_hybrid_rnn_lstm,2355187.778914581,1534.662105779178
