ModelCat,Model,MSE,RMSE
General,CNN,1.1769899634469594,1.0848916828176716
General,RNN,1.1224537770189567,1.0594591908228257
General,GRU,1005.0118175967206,31.701921354970278
General,LSTM,755.9265173651856,27.494117868467534
MA,CNN,1.6067412203167168,1.2675729644942404
MA,RNN,42.23971218612286,6.499208581521511
MA,GRU,22.398762242774712,4.732733062700104
MA,LSTM,29.140336277371084,5.398178977893479
AE,CNN,7.710770060390085,2.7768273371583776
AE,RNN,59.031765807531116,7.68321324756323
AE,GRU,48.97655909082211,6.998325449050087
AE,LSTM,22.561946251762336,4.749941710354174
MA AE,CNN,1.1584270145733586,1.0763024735516307
MA AE,RNN,56.89599759308279,7.542943562899221
MA AE,GRU,48.79378787438155,6.985255032880443
MA AE,LSTM,50.37466625668795,7.097511272036695
HY,LSTM,199.73097352977868,14.132620900943275
HY,LSTM RNN GRU,57.83419874943944,7.604879929981764
HY,CNN RNN GRU,21.125996055916985,4.596302433034295
HY,CNN GRU,230.2637625197552,15.17444438916151
HY,RNN GRU,222.7427303388057,14.924568011798723
HY,RNN LSTM,225.4920920260274,15.016394108640975
MA HY,CNN LSTM,228.4692488283008,15.115199265252867
MA HY,LSTM RNN GRU,46.29384228837692,6.803957839991142
MA HY,CNN RNN GRU,27.229707711894306,5.21820924378223
MA HY,CNN GRU,214.79940510414565,14.65603647321286
MA HY,RNN GRU,230.43132383269293,15.179964553077617
MA HY,RNN LSTM,216.369677392018,14.709509760424309
