Model,MSE,RMSE
cnn,0.6623555475065197,0.8138522885060407
rnn,2.977843426411718,1.7256429023444328
gru,7.542559052315048,2.7463719799610264
lstm,13.65787337945319,3.6956560147628985
mvg_cnn,52.53428788064035,7.248054075449517
mvg_rnn,6.862222738534713,2.6195844591336837
mvg_gru,7.754506162206067,2.784691394428845
mvg_lstm,15.744226636506296,3.96789952449735
auto_cnn,0.17661705683032866,0.4202583215479839
auto_rnn,1.3779199983403296,1.1738483711026435
auto_gru,9.299271017847419,3.049470612720742
auto_lstm,37.80806647122472,6.14882643040318
mvg_auto_cnn,4.700179371219055,2.1679897073600363
mvg_auto_rnn,52.18121136268324,7.223656370750428
mvg_auto_gru,36.49920287203128,6.041457015657008
mvg_auto_lstm,45.386727807811575,6.736967255955128
hybrid_cnn_lstm,1.9664934565266674,1.4023171740111677
hybrid_lstm_rnn_gru,0.26893317053784,0.5185876690954385
hybrid_cnn_rnn_gru,0.8427210007019516,0.9179983663939449
hybrid_cnn_gru,0.8479230112700034,0.9208273514997278
hybrid_rnn_gru,1.9238878387387899,1.3870428395470666
hybrid_rnn_lstm,5.151389612662296,2.269667291182189
mavg_hybrid_cnn_lstm,4.003928909866136,2.0009819863922154
mavg_hybrid_lstm_rnn_gru,0.2724565605931815,0.5219737163815641
mavg_hybrid_cnn_rnn_gru,1.5495267040698915,1.2447998650666265
mavg_hybrid_cnn_gru,1.604918550183028,1.266853799845518
mavg_hybrid_rnn_gru,2.4863903830753027,1.5768292181068002
mavg_hybrid_rnn_lstm,2.346737817292104,1.531906595485542
