Model,MSE,RMSE
CNN,0.020182158183631338,0.14206392287851036
RNN,0.02514694954257246,0.158577897396114
GRU,0.016162413312377458,0.12713148041448058
LSTM,0.019578894768128335,0.1399246038698282
MA CNN,0.03285897879508291,0.18127045759053767
MA RNN,0.05496761495604107,0.23445173267869246
MA GRU,0.023115581579615904,0.15203809252820788
MA LSTM,0.02525261737683089,0.15891072140302834
AE CNN,0.018646907915865547,0.1365536814438393
AE RNN,0.015990488439461516,0.12645350307311187
AE GRU,0.015828632365345763,0.12581189278182633
AE LSTM,0.027253413646882902,0.165086079506671
MA AE CNN,0.02982369446190594,0.17269538054593683
MA AE RNN,0.08973362202918318,0.2995557077225924
MA AE GRU,0.04039290814155397,0.20097986999088732
MA AE LSTM,0.060430084375249854,0.24582531272277444
HY CNN LSTM,0.030048288563883006,0.1733444217847318
HY LSTM RNN GRU,0.019526026821094063,0.13973556033127024
HY CNN RNN GRU,0.031984760984493085,0.17884283878448443
HY CNN GRU,0.02059858409089381,0.1435220683062149
HY RNN GRU,0.023878780011679986,0.1545276027500588
HY RNN LSTM,0.021479910660676345,0.14656026289781396
MA HY CNN LSTM,0.03708962442048109,0.1925866672967812
MA HY LSTM RNN GRU,0.059614221488582225,0.24416023732086728
MA HY CNN RNN GRU,0.041291549860169585,0.2032032230555647
MA HY CNN GRU,0.09327216255849304,0.30540491574055095
MA HY RNN GRU,0.04990174918940582,0.22338699422617653
MA HY RNN LSTM,0.045645343596872716,0.21364770908407307
