Date,Param,Values
0,12/15/2021,Temperature,21.3
1,12/16/2021,Temperature,21.04
2,12/17/2021,Temperature,21.16
3,12/18/2021,Temperature,21.27
4,12/19/2021,Temperature,20.51
5,12/20/2021,Temperature,21.27
6,12/21/2021,Temperature,20.89
7,12/22/2021,Temperature,20.59
8,12/23/2021,Temperature,20.65
9,12/24/2021,Temperature,20.56
10,12/25/2021,Temperature,21.25
11,12/26/2021,Temperature,20.85
12,12/27/2021,Temperature,20.59
13,12/28/2021,Temperature,21.27
14,12/29/2021,Temperature,21.21
15,12/30/2021,Temperature,20.5
16,12/31/2021,Temperature,20.36
17,1/1/2022,Temperature,20.44
18,1/2/2022,Temperature,20.4
19,1/3/2022,Temperature,20.33
20,1/4/2022,Temperature,20.37
21,1/5/2022,Temperature,20.32
22,1/6/2022,Temperature,20.48
23,1/7/2022,Temperature,20.46
24,1/8/2022,Temperature,20.49
25,1/9/2022,Temperature,20.5
26,1/10/2022,Temperature,20.43
27,1/11/2022,Temperature,20.39
28,1/12/2022,Temperature,20.43
29,1/13/2022,Temperature,20.44
30,1/14/2022,Temperature,20.42
31,1/15/2022,Temperature,20.3
32,1/16/2022,Temperature,20.16
33,1/17/2022,Temperature,20.3
34,1/18/2022,Temperature,20.19
35,1/19/2022,Temperature,20.13
36,1/20/2022,Temperature,20.24
37,1/21/2022,Temperature,20.11
38,1/22/2022,Temperature,20.16
39,1/23/2022,Temperature,20.24
40,1/24/2022,Temperature,20.14
41,1/25/2022,Temperature,20.14
42,1/26/2022,Temperature,20.17
43,1/27/2022,Temperature,20.23
44,1/28/2022,Temperature,20.18
45,1/29/2022,Temperature,20.29
46,1/30/2022,Temperature,20.1
47,1/31/2022,Temperature,20.72
48,2/1/2022,Temperature,20.63
49,2/2/2022,Temperature,20.64
50,2/3/2022,Temperature,20.97
51,2/4/2022,Temperature,20.89
52,2/5/2022,Temperature,21.03
53,2/6/2022,Temperature,20.52
54,2/7/2022,Temperature,20.44
55,2/8/2022,Temperature,20.49
56,2/9/2022,Temperature,20.98
57,2/10/2022,Temperature,20.53
58,2/11/2022,Temperature,20.89
59,2/12/2022,Temperature,20.75
60,2/13/2022,Temperature,21.07
61,2/14/2022,Temperature,20.64
62,2/15/2022,Temperature,21.1
63,2/16/2022,Temperature,21.62
64,2/17/2022,Temperature,21.44
65,2/18/2022,Temperature,21.66
66,2/19/2022,Temperature,21.22
67,2/20/2022,Temperature,21.49
68,2/21/2022,Temperature,21.65
69,2/22/2022,Temperature,21.42
70,2/23/2022,Temperature,21.38
71,2/24/2022,Temperature,21.58
72,2/25/2022,Temperature,21.34
73,2/26/2022,Temperature,21.37
74,2/27/2022,Temperature,21.46
75,2/28/2022,Temperature,21.7
76,3/1/2022,Temperature,21.86
77,3/2/2022,Temperature,22.48
78,3/3/2022,Temperature,24.64
79,3/4/2022,Temperature,24.28
80,3/5/2022,Temperature,22.72
81,3/6/2022,Temperature,22.07
82,3/7/2022,Temperature,22.61
83,3/8/2022,Temperature,22.45
84,3/9/2022,Temperature,23.16
85,3/10/2022,Temperature,24.16
86,3/11/2022,Temperature,23.43
87,3/12/2022,Temperature,23.87
88,3/13/2022,Temperature,22.07
89,3/14/2022,Temperature,22.45
90,3/15/2022,Temperature,24.8
91,3/16/2022,Temperature,25.8
92,3/17/2022,Temperature,25.43
93,3/18/2022,Temperature,25.93
94,3/19/2022,Temperature,25.84
95,3/20/2022,Temperature,25.04
96,3/21/2022,Temperature,25.51
97,3/22/2022,Temperature,25.07
98,3/23/2022,Temperature,26.39
99,3/24/2022,Temperature,26.42
100,3/25/2022,Temperature,26.64
101,3/26/2022,Temperature,25.5
102,3/27/2022,Temperature,26.71
103,3/28/2022,Temperature,25.32
104,3/29/2022,Temperature,26.78
105,3/30/2022,Temperature,27.0
106,3/31/2022,Temperature,27.66
107,4/1/2022,Temperature,27.85
108,4/2/2022,Temperature,27.95
109,4/3/2022,Temperature,27.3
110,4/4/2022,Temperature,28.47
111,4/5/2022,Temperature,27.17
112,4/6/2022,Temperature,27.36
113,4/7/2022,Temperature,27.63
114,4/8/2022,Temperature,28.73
115,4/9/2022,Temperature,27.07
116,4/10/2022,Temperature,28.39
117,4/11/2022,Temperature,28.05
118,4/12/2022,Temperature,28.93
119,4/13/2022,Temperature,28.26
120,4/14/2022,Temperature,27.16
121,4/15/2022,Temperature,29.3
122,4/16/2022,Temperature,30.94
123,4/17/2022,Temperature,30.55
124,4/18/2022,Temperature,30.23
125,4/19/2022,Temperature,29.7
126,4/20/2022,Temperature,29.61
127,4/21/2022,Temperature,29.38
128,4/22/2022,Temperature,30.28
129,4/23/2022,Temperature,30.95
130,4/24/2022,Temperature,29.32
131,4/25/2022,Temperature,29.54
132,4/26/2022,Temperature,30.05
133,4/27/2022,Temperature,31.15
134,4/28/2022,Temperature,29.97
135,4/29/2022,Temperature,29.93
136,4/30/2022,Temperature,31.2
137,5/1/2022,Temperature,31.97
138,5/2/2022,Temperature,31.61
139,5/3/2022,Temperature,32.54
140,5/4/2022,Temperature,31.32
141,5/5/2022,Temperature,32.11
142,5/6/2022,Temperature,31.63
143,5/7/2022,Temperature,32.54
144,5/8/2022,Temperature,31.46
145,5/9/2022,Temperature,31.62
146,5/10/2022,Temperature,31.89
147,5/11/2022,Temperature,31.44
148,5/12/2022,Temperature,32.67
149,5/13/2022,Temperature,32.02
150,5/14/2022,Temperature,31.98
151,5/15/2022,Temperature,32.9
152,5/16/2022,Temperature,32.67
153,5/17/2022,Temperature,32.67
154,5/18/2022,Temperature,32.36
155,5/19/2022,Temperature,32.38
156,5/20/2022,Temperature,32.54
157,5/21/2022,Temperature,32.5
158,5/22/2022,Temperature,32.83
159,5/23/2022,Temperature,32.73
160,5/24/2022,Temperature,32.55
161,5/25/2022,Temperature,32.66
162,5/26/2022,Temperature,32.52
163,5/27/2022,Temperature,32.38
164,5/28/2022,Temperature,32.74
165,5/29/2022,Temperature,32.59
166,5/30/2022,Temperature,32.3
167,5/31/2022,Temperature,30.63
168,6/1/2022,Temperature,31.85
169,6/2/2022,Temperature,32.01
170,6/3/2022,Temperature,30.86
171,6/4/2022,Temperature,31.33
172,6/5/2022,Temperature,30.66
173,6/6/2022,Temperature,30.66
174,6/7/2022,Temperature,31.04
175,6/8/2022,Temperature,32.23
176,6/9/2022,Temperature,31.53
177,6/10/2022,Temperature,32.22
178,6/11/2022,Temperature,32.09
179,6/12/2022,Temperature,31.83
180,6/13/2022,Temperature,31.04
181,6/14/2022,Temperature,30.7
182,6/15/2022,Temperature,30.3
183,6/16/2022,Temperature,28.48
184,6/17/2022,Temperature,29.39
185,6/18/2022,Temperature,29.25
186,6/19/2022,Temperature,28.61
187,6/20/2022,Temperature,28.67
188,6/21/2022,Temperature,29.97
189,6/22/2022,Temperature,29.05
190,6/23/2022,Temperature,28.56
191,6/24/2022,Temperature,29.7
192,6/25/2022,Temperature,28.98
193,6/26/2022,Temperature,30.08
194,6/27/2022,Temperature,29.57
195,6/28/2022,Temperature,30.05
196,6/29/2022,Temperature,29.97
197,6/30/2022,Temperature,28.4
198,7/1/2022,Temperature,28.15
199,7/2/2022,Temperature,27.96
200,7/3/2022,Temperature,28.15
201,7/4/2022,Temperature,28.31
202,7/5/2022,Temperature,28.06
203,7/6/2022,Temperature,28.13
204,7/7/2022,Temperature,28.16
205,7/8/2022,Temperature,28.19
206,7/9/2022,Temperature,28.35
207,7/10/2022,Temperature,28.34
208,7/11/2022,Temperature,28.22
209,7/12/2022,Temperature,28.34
210,7/13/2022,Temperature,28.13
211,7/14/2022,Temperature,28.26
212,7/15/2022,Temperature,27.9
213,7/16/2022,Temperature,27.85
214,7/17/2022,Temperature,27.43
215,7/18/2022,Temperature,27.63
216,7/19/2022,Temperature,27.49
217,7/20/2022,Temperature,27.43
218,7/21/2022,Temperature,27.45
219,7/22/2022,Temperature,27.25
220,7/23/2022,Temperature,27.33
221,7/24/2022,Temperature,27.53
222,7/25/2022,Temperature,27.74
223,7/26/2022,Temperature,27.23
224,7/27/2022,Temperature,27.44
225,7/28/2022,Temperature,27.56
226,7/29/2022,Temperature,27.66
227,7/30/2022,Temperature,27.2
228,7/31/2022,Temperature,26.41
229,8/1/2022,Temperature,27.07
230,8/2/2022,Temperature,26.41
231,8/3/2022,Temperature,26.56
232,8/4/2022,Temperature,26.6
233,8/5/2022,Temperature,26.44
234,8/6/2022,Temperature,26.63
235,8/7/2022,Temperature,26.83
236,8/8/2022,Temperature,26.53
237,8/9/2022,Temperature,27.19
238,8/10/2022,Temperature,26.49
239,8/11/2022,Temperature,26.95
240,8/12/2022,Temperature,26.88
241,8/13/2022,Temperature,26.69
242,8/14/2022,Temperature,27.1
243,8/15/2022,Temperature,26.4
244,8/16/2022,Temperature,26.41
245,8/17/2022,Temperature,27.07
246,8/18/2022,Temperature,26.41
247,8/19/2022,Temperature,26.56
248,8/20/2022,Temperature,26.6
249,8/21/2022,Temperature,26.44
250,8/22/2022,Temperature,26.63
251,8/23/2022,Temperature,26.83
252,8/24/2022,Temperature,26.53
253,8/25/2022,Temperature,27.19
