Model,MSE,RMSE
CNN,0.0171667346855265,0.13102188628441624
RNN,0.016325203461417342,0.12777011959537857
GRU,0.013195324565347886,0.114870903911077
LSTM,0.014645330966741112,0.12101789523347822
MA CNN,0.027325640070474704,0.16530468859192926
MA RNN,0.0468851931001513,0.21652988962300632
MA GRU,0.012598413659080269,0.11224265525672612
MA LSTM,0.032505638921375736,0.18029320264884013
AE CNN,0.0243396952550536,0.15601184331663287
AE RNN,0.020349741687193095,0.14265252078807825
AE GRU,0.012246648654808904,0.11066457723593807
AE LSTM,0.02051834299540626,0.143242252828578
MA AE CNN,0.01583953913521,0.1258552308615339
MA AE RNN,0.017468992010121833,0.1321703144057766
MA AE GRU,0.013551684981911796,0.11641170466027802
MA AE LSTM,0.015744255790260737,0.12547611641368542
HY CNN LSTM,0.012558881973901056,0.11206641769014059
HY LSTM RNN GRU,0.02049399304728778,0.1431572319070461
HY CNN RNN GRU,0.01991400188912226,0.1411169794501082
HY CNN GRU,0.014229366902702755,0.11928691002244443
HY RNN GRU,0.01703772354247032,0.13052863112156782
HY RNN LSTM,0.013000212137904373,0.1140184727923698
MA HY CNN LSTM,0.0318505140284025,0.17846712310227478
MA HY LSTM RNN GRU,0.022690924176999718,0.15063506954557335
MA HY CNN RNN GRU,0.0771652383421868,0.2777863177735484
MA HY CNN GRU,0.02118018990253581,0.14553415373215942
MA HY RNN GRU,0.03269679362550651,0.18082254733717948
MA HY RNN LSTM,0.029222673176161007,0.17094640439670267
