Location,Model,R2,RMSE,MAE
S1,CNN,-2.9635749230567208,1.8213028275371508,1.574988233224592
S1,RNN,-0.5470054752998739,1.1378487878920711,0.9330669064405892
S1,GRU,-0.0080173263204339,0.9184861763119369,0.7906996671358744
S1,LSTM,-0.0054863398148858,0.917332358255583,0.792904067105717
S1,MA CNN,-1.713352583026993,1.5069253591962712,1.1871138865003985
S1,MA RNN,0.9342263987166304,0.2346196791094452,0.1814378790722952
S1,MA GRU,0.8489553246068501,0.355542347783281,0.2915751452247301
S1,MA LSTM,0.3699731476813745,0.7261363130420473,0.5962922239965862
S1,DReg CNN,-0.1153414335037803,0.9661455186702088,0.8516123283902803
S1,DReg RNN,0.971880661679583,0.1534055861204011,0.1176101272087544
S1,DReg GRU,0.9754103584116036,0.1434546813506851,0.1083407507901493
S1,DReg LSTM,0.981829074467846,0.1233181923683511,0.0965727422572672
S1,MA DReg CNN,-1.4496648425840153,1.4318316578266688,1.1293708025871052
S1,MA DReg RNN,0.8623032070166171,0.3394693263389599,0.289493571801318
S1,MA DReg GRU,0.8590493204159263,0.3434568740318399,0.2690556938449541
S1,MA DReg LSTM,0.6096770703530598,0.5715453005951887,0.4715931330124536
S1,HY CNN LSTM,-0.0968453788212959,0.9581010822369432,0.7521024032433827
S1,HY LSTM RNN GRU,0.9798887330032012,0.1297353541436869,0.1069966299004024
S1,HY CNN RNN GRU,-0.0418534403878305,0.9337743518290504,0.7738826272222731
S1,HY CNN GRU,-0.0363658177349854,0.9313119293664456,0.7756465770138634
S1,HY RNN GRU,0.9773743719572104,0.137606499566833,0.1102576715778559
S1,HY RNN LSTM,0.9782594319325052,0.1348882342789007,0.1076707512243754
S1,MA HY CNN LSTM,-0.0602711562478359,0.941991750112519,0.7688132158252928
S1,MA HY LSTM RNN GRU,0.8211126742766096,0.3869264436260069,0.2723857623669836
S1,MA HY CNN RNN GRU,0.0059096297680356,0.9121191192281234,0.791137019528283
S1,MA HY CNN GRU,-0.0535106528108852,0.938983782587556,0.7765781711207496
S1,MA HY RNN GRU,0.8431377041405966,0.3623246733709673,0.3099218089050717
S1,MA HY RNN LSTM,0.8269226866458105,0.3805911614598667,0.2698406291670269
S2,CNN,-12.28555753507796,3.3529984496516265,2.365943944721172
S2,RNN,-0.2410655488760691,1.024804020118422,0.8675844296233522
S2,GRU,-0.0027978538952853,0.9211920011999308,0.8268596988254123
S2,LSTM,0.0433432226404796,0.8997493397919295,0.8065529427263471
S2,MA CNN,-1.2787060655174427,1.3886334244849508,1.1242404556108845
S2,MA RNN,0.9121446213427712,0.2726638971999269,0.2150980135798454
S2,MA GRU,0.9053619433322418,0.2829934392636898,0.2585075092315673
S2,MA LSTM,0.8160573393284182,0.3945342332937482,0.2786919913689295
S2,DReg CNN,-0.1424239556568294,0.9832345050523849,0.8400529114405314
S2,DReg RNN,0.9828589388475032,0.1204376609882293,0.0943861027206811
S2,DReg GRU,0.9813529365193064,0.1256170774297784,0.0985440544028662
S2,DReg LSTM,0.9808287796021736,0.1273703494585498,0.091303297775901
S2,MA DReg CNN,-1.5080686625929376,1.456844408008541,1.1856143059571171
S2,MA DReg RNN,0.880620429476987,0.3178399373478344,0.2514241797063086
S2,MA DReg GRU,0.7534256933821555,0.4567908233690313,0.4116770053572125
S2,MA DReg LSTM,0.8447947228814243,0.3624071039231903,0.3172546539041731
S2,HY CNN LSTM,-0.0620257368680128,0.9480057709395828,0.780039677090115
S2,HY LSTM RNN GRU,0.983756657914871,0.1172414431687206,0.0882777184806763
S2,HY CNN RNN GRU,-0.0512883924519762,0.9432013094174672,0.7848151217566596
S2,HY CNN GRU,-0.0298301713405662,0.9335256730386124,0.7922698717647129
S2,HY RNN GRU,0.9840388388439244,0.1162186166314124,0.0901850541018777
S2,HY RNN LSTM,0.9815806638811936,0.1248476715071361,0.093232234014819
S2,MA HY CNN LSTM,-0.0434883072165108,0.939695730919464,0.7867737489938736
S2,MA HY LSTM RNN GRU,0.8938002610910201,0.299781746121587,0.2553778518570794
S2,MA HY CNN RNN GRU,-0.047946246846799,0.941700852691172,0.785698454313808
S2,MA HY CNN GRU,-0.0522545228623552,0.9436346092668068,0.7845982022417917
S2,MA HY RNN GRU,0.9625285942777536,0.178071104822586,0.1497994246747759
S2,MA HY RNN LSTM,0.9162991878976836,0.2661388624345842,0.197765997449557
S3,CNN,-2.888339917383309,1.8039343888487425,1.5563280249966516
S3,RNN,-0.2636834833245167,1.028389847181951,0.8283836889266968
S3,GRU,-0.0048528937673832,0.9170433577584592,0.793730305035909
S3,LSTM,0.1077220742547484,0.8641491365082165,0.7601439321041107
S3,MA CNN,-0.9570652261984728,1.2797975545188691,0.9783460390008984
S3,MA RNN,0.9546718703935412,0.1947702067601841,0.1526835759811931
S3,MA GRU,0.711876245676718,0.4910527622527971,0.3960526468025314
S3,MA LSTM,0.8132600699673999,0.395327678094063,0.281674181719621
S3,DReg CNN,-2.5324064314114483,1.7193882685923236,1.4778633527126577
S3,DReg RNN,0.9761103630359372,0.1413980436998798,0.1082314342570801
S3,DReg GRU,0.9743889049615656,0.1464039181334359,0.110008037993167
S3,DReg LSTM,0.977386553857434,0.1375694501125282,0.1134032740278376
S3,MA DReg CNN,-2.73852811862359,1.7688416326540537,1.5208427061637242
S3,MA DReg RNN,0.8520502944488979,0.3518808872842809,0.299178311129411
S3,MA DReg GRU,0.7850668564422295,0.4241215316433107,0.3779086443781853
S3,MA DReg LSTM,0.6347952927479363,0.5528493574218962,0.4605725918213526
