Model Category,Model,NSE,MAE,R2,RMSE
General,CNN,-2.9635749230567208,1.5749882332245921,-2.9635749230567208,1.8213028275371508
General,RNN,-0.5470054752998739,0.9330669064405891,-0.5470054752998739,1.1378487878920711
General,GRU,-0.008017326320433948,0.7906996671358744,-0.008017326320433948,0.9184861763119367
General,LSTM,-0.005486339814885888,0.792904067105717,-0.005486339814885888,0.917332358255583
MA,CNN,-1.713352583026993,1.1871138865003983,-1.713352583026993,1.5069253591962712
MA,RNN,0.9342263987166305,0.18143787907229528,0.9342263987166305,0.23461967910944526
MA,GRU,0.8489553246068501,0.29157514522473016,0.8489553246068501,0.35554234778328103
MA,LSTM,0.36997314768137457,0.5962922239965862,0.36997314768137457,0.7261363130420473
DReg,CNN,-0.11534143350378034,0.8516123283902803,-0.11534143350378034,0.9661455186702088
DReg,RNN,0.971880661679583,0.11761012720875441,0.971880661679583,0.15340558612040117
DReg,GRU,0.9754103584116036,0.10834075079014936,0.9754103584116036,0.14345468135068512
DReg,LSTM,0.9818290744678461,0.09657274225726722,0.9818290744678461,0.12331819236835115
MA DReg,CNN,-1.4496648425840153,1.1293708025871052,-1.4496648425840153,1.4318316578266688
MA DReg,RNN,0.8623032070166171,0.289493571801318,0.8623032070166171,0.3394693263389599
MA DReg,GRU,0.8590493204159263,0.26905569384495415,0.8590493204159263,0.34345687403183994
MA DReg,LSTM,0.6096770703530598,0.47159313301245365,0.6096770703530598,0.5715453005951887
HY,CNN LSTM,-0.09684537882129596,0.7521024032433827,-0.09684537882129596,0.9581010822369433
HY,LSTM RNN GRU,0.9798887330032012,0.10699662990040247,0.9798887330032012,0.12973535414368692
HY,CNN RNN GRU,-0.041853440387830565,0.7738826272222731,-0.041853440387830565,0.9337743518290504
HY,CNN GRU,-0.036365817734985484,0.7756465770138634,-0.036365817734985484,0.9313119293664456
HY,RNN GRU,0.9773743719572104,0.11025767157785592,0.9773743719572104,0.13760649956683302
HY,RNN LSTM,0.9782594319325051,0.10767075122437542,0.9782594319325051,0.1348882342789007
MA HY,CNN LSTM,-0.060271156247835966,0.7688132158252928,-0.060271156247835966,0.941991750112519
MA HY,LSTM RNN GRU,0.8211126742766096,0.2723857623669836,0.8211126742766096,0.3869264436260069
MA HY,CNN RNN GRU,0.005909629768035662,0.791137019528283,0.005909629768035662,0.9121191192281234
MA HY,CNN GRU,-0.053510652810885295,0.7765781711207496,-0.053510652810885295,0.9389837825875559
MA HY,RNN GRU,0.8431377041405966,0.3099218089050717,0.8431377041405966,0.3623246733709673
MA HY,RNN LSTM,0.8269226866458105,0.26984062916702695,0.8269226866458105,0.3805911614598667
